ts,open,high,low,close,volume,date
1580428800000,0.0545,0.05559,0.05209,0.05387,244632854.0,2020-01-31
1580515200000,0.05383,0.05745,0.05304,0.0562,372594843.0,2020-02-01
1580601600000,0.05616,0.0596,0.05484,0.05583,481355438.0,2020-02-02
1580688000000,0.05577,0.05808,0.05526,0.05718,337457383.0,2020-02-03
1580774400000,0.05718,0.05789,0.05406,0.05601,267287553.0,2020-02-04
1580860800000,0.05605,0.06028,0.05572,0.05949,293624089.0,2020-02-05
1580947200000,0.05947,0.06115,0.0572,0.06014,285964483.0,2020-02-06
1581033600000,0.06016,0.06306,0.05966,0.06014,301494128.0,2020-02-07
1581120000000,0.06015,0.06147,0.0569,0.06018,258763669.0,2020-02-08
1581206400000,0.06014,0.06261,0.0601,0.06194,219182975.0,2020-02-09
1581292800000,0.06194,0.06246,0.05818,0.06029,246284094.0,2020-02-10
1581379200000,0.0603,0.06364,0.05901,0.06357,316957344.0,2020-02-11
1581465600000,0.06352,0.0709,0.06351,0.06825,552763234.0,2020-02-12
1581552000000,0.06829,0.07256,0.06476,0.06882,688219788.0,2020-02-13
1581638400000,0.06883,0.0715,0.06709,0.07082,491638895.0,2020-02-14
1581724800000,0.07082,0.0715,0.06189,0.06433,493739507.0,2020-02-15
1581811200000,0.0643,0.06717,0.05635,0.06159,519254402.0,2020-02-16
1581897600000,0.06156,0.06286,0.05567,0.06024,480135119.0,2020-02-17
1581984000000,0.06024,0.06377,0.05748,0.06283,408675432.0,2020-02-18
1582070400000,0.06282,0.06306,0.05654,0.05737,360991315.0,2020-02-19
1582156800000,0.05734,0.05908,0.05545,0.05818,323424931.0,2020-02-20
1582243200000,0.05818,0.06006,0.05739,0.05847,324430721.0,2020-02-21
1582329600000,0.05856,0.05912,0.05701,0.0583,275321494.0,2020-02-22
1582416000000,0.0583,0.06211,0.05823,0.06151,346239333.0,2020-02-23
1582502400000,0.0615,0.06191,0.0574,0.05907,387317026.0,2020-02-24
1582588800000,0.05907,0.05925,0.05577,0.05606,364172176.0,2020-02-25
1582675200000,0.05607,0.05674,0.04625,0.04914,577235373.0,2020-02-26
1582761600000,0.04918,0.05212,0.04614,0.04989,338999152.0,2020-02-27
1582848000000,0.04987,0.05134,0.02286,0.0489,313933720.0,2020-02-28
1582934400000,0.04886,0.05001,0.04709,0.0471,255284363.0,2020-02-29
1583020800000,0.04709,0.04835,0.04505,0.04563,319589360.0,2020-03-01
1583107200000,0.04564,0.04987,0.04545,0.04933,318808647.0,2020-03-02
1583193600000,0.04928,0.04944,0.04742,0.04869,304649550.0,2020-03-03
1583280000000,0.04871,0.05043,0.04786,0.04903,255736293.0,2020-03-04
1583366400000,0.04902,0.05242,0.04901,0.05102,359660890.0,2020-03-05
1583452800000,0.05105,0.0518,0.04985,0.0518,280916982.0,2020-03-06
1583539200000,0.0518,0.05197,0.04816,0.04882,308561489.0,2020-03-07
1583625600000,0.04888,0.04888,0.0422,0.04296,260615130.0,2020-03-08
1583712000000,0.04295,0.04398,0.03894,0.04157,469918638.0,2020-03-09
1583798400000,0.04154,0.04303,0.04035,0.04147,402798939.0,2020-03-10
1583884800000,0.04147,0.04182,0.03732,0.03967,351085079.0,2020-03-11
1583971200000,0.0397,0.03986,0.02193,0.02329,782726207.0,2020-03-12
1584057600000,0.02321,0.02936,0.01752,0.02844,744073334.0,2020-03-13
1584144000000,0.02844,0.02893,0.02519,0.02574,395308078.0,2020-03-14
1584230400000,0.02572,0.02908,0.02539,0.02689,392917004.0,2020-03-15
1584316800000,0.02688,0.02694,0.02149,0.02412,926923271.0,2020-03-16
1584403200000,0.02412,0.02643,0.02374,0.02569,319351210.0,2020-03-17
1584489600000,0.02566,0.02646,0.02425,0.02605,275449039.0,2020-03-18
1584576000000,0.02605,0.032,0.02572,0.03031,297681223.0,2020-03-19
1584662400000,0.03032,0.03396,0.02644,0.02946,324104722.0,2020-03-20
1584748800000,0.02945,0.03067,0.02782,0.02946,224723280.0,2020-03-21
1584835200000,0.02945,0.03041,0.02674,0.027,149598449.0,2020-03-22
1584921600000,0.02702,0.03009,0.02642,0.02925,144861169.0,2020-03-23
1585008000000,0.02923,0.03041,0.02872,0.0302,119897727.0,2020-03-24
1585094400000,0.0302,0.03042,0.02869,0.02944,129869775.0,2020-03-25
