ts,open,high,low,close,volume,date
1578528000000,45.32,45.77,43.87,44.73,212861.927,2020-01-09
1578614400000,44.73,49.63,43.8,49.04,384284.072,2020-01-10
1578700800000,49.03,51.99,47.76,49.25,545784.433,2020-01-11
1578787200000,49.3,51.75,48.78,51.33,528807.006,2020-01-12
1578873600000,51.33,51.42,48.9,49.58,481361.43,2020-01-13
1578960000000,49.6,61.21,49.58,58.55,1387911.639,2020-01-14
1579046400000,58.55,60.37,55.36,58.2,677280.386,2020-01-15
1579132800000,58.27,58.56,54.68,57.6,387334.981,2020-01-16
1579219200000,57.64,63.39,56.83,61.15,699042.16,2020-01-17
1579305600000,61.18,62.76,57.96,59.33,400679.659,2020-01-18
1579392000000,59.38,62.7,55.35,57.64,439816.278,2020-01-19
1579478400000,57.63,58.32,55.85,57.23,221200.071,2020-01-20
1579564800000,57.26,58.15,56.0,57.59,176966.937,2020-01-21
1579651200000,57.61,59.49,57.23,58.36,240476.89,2020-01-22
1579737600000,58.36,58.46,52.14,54.5,390128.497,2020-01-23
1579824000000,54.53,55.48,50.68,54.4,380824.766,2020-01-24
1579910400000,54.38,54.43,52.18,53.28,214348.899,2020-01-25
1579996800000,53.23,56.63,52.82,56.27,278686.132,2020-01-26
1580083200000,56.32,59.68,55.92,58.6,361503.218,2020-01-27
1580169600000,58.59,61.65,57.3,60.57,490260.107,2020-01-28
1580256000000,60.58,62.78,59.48,59.86,514719.82,2020-01-29
1580342400000,59.89,70.3,58.2,68.03,1130298.782,2020-01-30
1580428800000,68.01,70.1,65.41,68.01,1316496.14,2020-01-31
1580515200000,68.08,73.0,67.67,70.73,1214559.486,2020-02-01
1580601600000,70.74,73.61,67.45,70.01,1067588.624,2020-02-02
1580688000000,69.99,73.1,68.57,69.69,908404.842,2020-02-03
1580774400000,69.7,70.55,66.74,68.15,864721.179,2020-02-04
1580860800000,68.14,73.54,67.74,72.7,938936.749,2020-02-05
1580947200000,72.7,75.2,71.02,73.68,885328.176,2020-02-06
1581033600000,73.72,75.56,72.97,74.4,753271.791,2020-02-07
1581120000000,74.39,77.99,71.59,76.66,907541.871,2020-02-08
1581206400000,76.66,78.52,75.0,77.09,867779.427,2020-02-09
1581292800000,77.1,77.65,72.54,74.09,1160040.655,2020-02-10
1581379200000,74.07,77.6,72.77,76.6,936902.251,2020-02-11
1581465600000,76.6,83.1,76.6,81.31,1370117.76,2020-02-12
1581552000000,81.31,84.78,75.24,80.68,1628544.558,2020-02-13
1581638400000,80.69,83.92,78.72,83.14,894633.684,2020-02-14
1581724800000,83.15,83.64,74.81,76.8,922664.131,2020-02-15
1581811200000,76.78,80.85,67.34,74.9,1179931.913,2020-02-16
1581897600000,74.74,75.66,68.58,73.6,1027609.908,2020-02-17
1581984000000,73.54,79.2,70.04,77.39,759448.8,2020-02-18
1582070400000,77.39,79.73,64.31,70.56,1082076.133,2020-02-19
1582156800000,70.65,72.52,66.15,69.44,791753.105,2020-02-20
1582243200000,69.44,75.48,68.57,73.33,1146695.16,2020-02-21
1582329600000,73.33,76.85,72.43,74.79,1153653.768,2020-02-22
1582416000000,74.8,80.08,74.71,79.66,1309914.943,2020-02-23
1582502400000,79.62,79.84,71.69,75.64,1871316.693,2020-02-24
1582588800000,75.64,76.19,69.46,71.03,1637648.766,2020-02-25
1582675200000,71.05,72.18,57.4,60.52,2240594.829,2020-02-26
1582761600000,60.57,65.2,57.09,61.78,1630138.399,2020-02-27
1582848000000,61.79,63.44,56.56,59.95,1676427.006,2020-02-28
1582934400000,59.92,61.72,57.87,58.12,966106.269,2020-02-29
1583020800000,58.11,60.34,56.24,57.78,1010214.686,2020-03-01
1583107200000,57.77,62.39,57.25,61.52,943139.957,2020-03-02
1583193600000,61.52,62.54,59.41,61.09,909566.311,2020-03-03
1583280000000,61.09,61.87,58.79,60.4,662911.146,2020-03-04
1583366400000,60.39,63.33,60.39,62.11,768020.447,2020-03-05
1583452800000,62.11,63.9,61.24,63.31,783058.83,2020-03-06
1583539200000,63.31,64.02,60.0,60.49,813703.963,2020-03-07
1583625600000,60.5,60.5,50.28,50.99,1439119.706,2020-03-08
1583712000000,51.08,52.29,46.63,50.37,2124369.893,2020-03-09
1583798400000,50.37,51.44,48.92,50.28,1090385.567,2020-03-10
1583884800000,50.28,50.79,45.52,48.59,1158315.318,2020-03-11
1583971200000,48.59,48.82,28.32,29.67,3705544.106,2020-03-12
1584057600000,29.64,39.6,23.68,37.54,5026424.181,2020-03-13
1584144000000,37.5,37.62,33.79,34.42,1215517.524,2020-03-14
1584230400000,34.41,38.77,34.04,36.42,1155495.19,2020-03-15
1584316800000,36.4,36.43,29.23,33.19,1564263.936,2020-03-16
1584403200000,33.19,35.84,32.38,34.07,969866.688,2020-03-17
1584489600000,34.06,34.84,32.29,34.7,1110479.139,2020-03-18
1584576000000,34.71,40.85,34.0,38.92,1111838.022,2020-03-19
1584662400000,38.88,43.78,33.91,38.12,1519922.49,2020-03-20
1584748800000,38.11,39.86,36.14,38.33,835591.096,2020-03-21
1584835200000,38.33,39.69,34.83,35.42,891288.331,2020-03-22
1584921600000,35.41,40.26,34.51,38.99,1048406.694,2020-03-23
1585008000000,38.97,41.06,38.24,40.59,711095.325,2020-03-24
1585094400000,40.57,41.09,38.04,39.19,717235.302,2020-03-25
1585180800000,39.19,40.53,38.43,40.44,587118.427,2020-03-26
1585267200000,40.44,41.3,37.38,38.02,716211.364,2020-03-27
1585353600000,38.02,39.43,36.57,38.88,825505.156,2020-03-28
1585440000000,38.84,39.14,36.98,37.12,519957.867,2020-03-29
1585526400000,37.1,39.73,37.1,38.96,575402.083,2020-03-30
1585612800000,38.96,39.34,38.3,39.09,429058.696,2020-03-31
1585699200000,39.1,39.54,37.09,39.24,598364.107,2020-04-01
1585785600000,39.24,43.16,39.02,39.92,720282.57,2020-04-02
1585872000000,39.94,41.27,39.66,40.51,535016.151,2020-04-03
1585958400000,40.51,41.19,39.91,40.75,468072.633,2020-04-04
1586044800000,40.76,41.03,39.87,40.37,284336.869,2020-04-05
1586131200000,40.34,45.13,40.33,45.08,576532.596,2020-04-06
1586217600000,45.06,47.72,43.67,44.83,980263.344,2020-04-07
1586304000000,44.82,47.25,44.32,46.59,744337.578,2020-04-08
1586390400000,46.57,46.94,44.71,46.28,494460.313,2020-04-09
1586476800000,46.27,46.44,40.86,42.3,929015.121,2020-04-10
1586563200000,42.28,43.2,41.42,42.55,384372.228,2020-04-11
1586649600000,42.52,43.6,41.84,41.98,511521.495,2020-04-12
1586736000000,41.98,41.99,39.43,41.2,936013.692,2020-04-13
1586822400000,41.21,41.83,40.46,41.2,515098.221,2020-04-14
1586908800000,41.21,41.77,39.06,39.21,480625.519,2020-04-15
1586995200000,39.2,43.8,37.87,42.54,901247.417,2020-04-16
1587081600000,42.54,43.02,41.62,42.19,449130.633,2020-04-17
1587168000000,42.16,44.46,41.97,44.12,618666.97,2020-04-18
1587254400000,44.13,44.3,41.5,42.23,721781.477,2020-04-19
1587340800000,42.2,43.25,39.54,40.19,868956.977,2020-04-20
1587427200000,40.19,41.35,40.0,40.59,584108.609,2020-04-21
1587513600000,40.57,42.46,40.28,41.83,543528.767,2020-04-22
1587600000000,41.83,43.98,40.94,43.0,900219.801,2020-04-23
1587686400000,43.0,45.06,42.86,44.59,1159409.673,2020-04-24
1587772800000,44.59,45.67,43.9,44.41,1046864.832,2020-04-25
1587859200000,44.41,45.45,43.62,44.56,754525.085,2020-04-26
