ts,open,high,low,close,volume,date
1658966400000,94.78,103.61,89.62,100.41,568676.3,2022-07-28
1659052800000,100.48,102.38,93.77,95.57,435294.7,2022-07-29
1659139200000,95.57,100.9,93.56,95.21,328087.2,2022-07-30
1659225600000,95.26,109.41,93.77,97.48,651646.9,2022-07-31
1659312000000,97.47,100.48,94.07,96.57,285813.7,2022-08-01
1659398400000,96.55,99.55,88.27,93.37,429098.2,2022-08-02
1659484800000,93.38,101.11,91.5,94.88,307924.2,2022-08-03
1659571200000,94.88,99.65,93.31,96.33,289921.6,2022-08-04
1659657600000,96.33,103.74,96.32,102.79,329609.8,2022-08-05
1659744000000,102.77,103.45,98.5,99.03,157379.9,2022-08-06
1659830400000,99.08,104.7,96.93,101.29,197779.4,2022-08-07
1659916800000,101.26,106.93,101.01,102.41,247137.6,2022-08-08
1660003200000,102.42,103.45,95.39,97.9,203866.6,2022-08-09
1660089600000,97.89,113.2,95.29,111.12,478550.1,2022-08-10
1660176000000,111.08,113.98,106.28,107.61,304771.1,2022-08-11
1660262400000,107.62,116.0,105.46,114.67,279949.5,2022-08-12
1660348800000,114.74,115.81,109.58,110.56,207842.8,2022-08-13
1660435200000,110.57,113.25,105.84,107.43,158662.4,2022-08-14
1660521600000,107.46,112.53,103.8,107.11,267137.4,2022-08-15
1660608000000,107.08,110.47,105.55,109.76,250437.8,2022-08-16
1660694400000,109.8,112.45,99.26,100.29,311719.2,2022-08-17
1660780800000,100.31,101.73,93.77,94.86,243615.4,2022-08-18
1660867200000,94.84,95.31,82.72,83.4,515658.2,2022-08-19
1660953600000,83.38,86.82,79.85,82.81,285685.2,2022-08-20
1661040000000,82.81,87.07,81.61,85.96,198897.7,2022-08-21
1661126400000,85.97,88.66,81.89,88.42,323524.3,2022-08-22
1661212800000,88.43,91.19,85.04,89.38,306470.5,2022-08-23
1661299200000,89.44,91.88,86.83,88.44,314331.9,2022-08-24
1661385600000,88.45,95.79,87.61,93.31,320151.7,2022-08-25
1661472000000,93.3,94.05,81.71,82.73,491927.5,2022-08-26
1661558400000,82.69,83.49,80.34,82.11,273635.8,2022-08-27
1661644800000,82.11,83.48,78.21,78.61,248211.8,2022-08-28
1661731200000,78.64,86.3,77.9,85.73,262492.2,2022-08-29
1661817600000,85.75,88.07,81.36,84.41,285838.5,2022-08-30
1661904000000,84.42,89.05,84.23,84.81,290480.1,2022-08-31
1661990400000,84.79,87.0,81.97,86.43,234377.5,2022-09-01
1662076800000,86.47,92.11,84.82,88.41,313683.1,2022-09-02
1662163200000,88.41,88.82,85.72,87.15,162884.7,2022-09-03
1662249600000,87.15,89.02,85.75,88.88,135784.3,2022-09-04
1662336000000,88.87,91.75,86.74,91.16,185202.0,2022-09-05
1662422400000,91.16,93.71,83.0,83.52,346012.2,2022-09-06
1662508800000,83.45,89.32,82.0,87.51,226369.3,2022-09-07
1662595200000,87.51,90.0,85.44,88.33,223038.3,2022-09-08
1662681600000,88.31,94.21,88.19,91.14,277594.6,2022-09-09
1662768000000,91.13,93.96,89.71,92.75,238205.3,2022-09-10
1662854400000,92.79,94.5,89.08,91.56,279629.1,2022-09-11
1662940800000,91.57,97.05,89.34,91.0,428102.0,2022-09-12
1663027200000,91.02,93.52,82.31,82.98,584442.2,2022-09-13
1663113600000,82.97,86.0,81.17,83.66,316141.9,2022-09-14
1663200000000,83.65,84.22,77.74,78.54,514892.1,2022-09-15
1663286400000,78.55,80.58,77.13,79.37,310350.0,2022-09-16
1663372800000,79.36,81.76,79.09,81.41,134738.6,2022-09-17
1663459200000,81.42,82.0,70.54,73.02,270180.5,2022-09-18
1663545600000,73.03,77.07,70.71,76.33,336572.8,2022-09-19
1663632000000,76.29,77.18,73.73,74.11,236695.3,2022-09-20
1663718400000,74.09,79.64,70.37,71.59,418466.9,2022-09-21
1663804800000,71.57,77.65,71.49,76.7,215680.8,2022-09-22
1663891200000,76.72,78.8,72.9,77.05,241050.6,2022-09-23
1663977600000,77.07,77.44,74.58,74.93,132481.2,2022-09-24
1664064000000,74.95,77.66,72.7,73.7,160229.7,2022-09-25
1664150400000,73.6,76.59,72.6,76.29,209710.5,2022-09-26
1664236800000,76.29,80.93,74.57,76.61,242713.2,2022-09-27
1664323200000,76.63,78.16,72.99,76.84,244441.8,2022-09-28
1664409600000,76.86,77.49,74.32,76.93,147192.6,2022-09-29
1664496000000,76.94,78.05,73.72,74.64,190570.3,2022-09-30
1664582400000,74.62,75.73,73.91,74.55,107684.2,2022-10-01
1664668800000,74.54,75.79,72.23,72.67,149171.2,2022-10-02
1664755200000,72.7,76.23,71.81,75.58,138553.0,2022-10-03
1664841600000,75.57,79.87,75.55,78.83,137922.1,2022-10-04
1664928000000,78.83,79.15,75.81,78.71,120518.3,2022-10-05
1665014400000,78.7,80.43,77.19,77.48,148142.4,2022-10-06
1665100800000,77.47,78.23,74.98,75.8,107288.8,2022-10-07
1665187200000,75.78,76.19,73.91,74.72,62797.0,2022-10-08
1665273600000,74.72,76.04,74.26,75.5,68103.6,2022-10-09
1665360000000,75.51,76.57,73.33,73.62,101421.5,2022-10-10
1665446400000,73.61,73.62,71.1,71.47,114737.8,2022-10-11
1665532800000,71.47,72.82,71.05,71.56,86134.1,2022-10-12
1665619200000,71.5,72.1,64.77,70.98,293645.0,2022-10-13
1665705600000,70.97,74.76,70.84,72.85,166025.1,2022-10-14
1665792000000,72.9,73.38,71.39,71.9,87968.5,2022-10-15
1665878400000,71.91,76.27,71.82,75.87,149984.4,2022-10-16
1665964800000,75.85,79.67,74.75,78.93,268696.7,2022-10-17
1666051200000,78.94,83.73,77.87,82.4,475512.3,2022-10-18
1666137600000,82.38,85.6,81.18,82.86,558397.7,2022-10-19
1666224000000,82.86,83.99,80.02,80.73,390334.3,2022-10-20
1666310400000,80.74,83.31,78.33,82.14,480407.8,2022-10-21
1666396800000,82.15,84.49,81.31,82.16,245627.3,2022-10-22
1666483200000,82.17,90.09,81.53,88.78,392087.3,2022-10-23
1666569600000,88.78,89.98,84.65,85.21,508012.5,2022-10-24
1666656000000,85.21,86.43,81.4,81.94,626838.2,2022-10-25
1666742400000,81.94,85.31,80.87,83.44,462094.7,2022-10-26
1666828800000,83.44,87.11,80.61,81.39,418492.4,2022-10-27
1666915200000,81.39,84.91,80.5,84.16,266197.8,2022-10-28
1667001600000,84.17,87.45,83.82,85.38,251747.3,2022-10-29
1667088000000,85.39,86.94,82.79,83.9,164092.8,2022-10-30
1667174400000,83.91,87.21,82.18,83.81,220461.8,2022-10-31
1667260800000,83.82,86.29,83.54,84.2,203095.6,2022-11-01
1667347200000,84.21,85.73,79.13,80.41,307915.7,2022-11-02
1667433600000,80.42,86.64,79.82,83.71,244166.7,2022-11-03
1667520000000,83.71,97.68,83.22,94.73,554603.2,2022-11-04
1667606400000,94.73,98.29,93.47,96.37,378225.9,2022-11-05
1667692800000,96.37,96.43,86.33,86.33,308097.4,2022-11-06
1667779200000,86.34,90.47,83.73,87.25,326364.5,2022-11-07
1667865600000,87.27,88.34,65.56,72.25,858563.2,2022-11-08
1667952000000,72.22,73.08,56.81,58.03,635434.9,2022-11-09
1668038400000,58.05,70.88,57.02,68.03,384233.0,2022-11-10
1668124800000,68.01,68.98,60.57,64.08,318545.7,2022-11-11
1668211200000,64.11,64.21,56.88,58.04,442587.3,2022-11-12
1668297600000,58.05,60.84,55.75,56.69,362924.3,2022-11-13
