ts,open,high,low,close,volume,date
1666137600000,9.39,9.8922,6.5043,7.304,112657850.0,2022-10-19
1666224000000,7.3038,7.763,6.9001,7.3615,60163351.0,2022-10-20
1666310400000,7.3617,7.6785,6.9787,7.4903,55733091.0,2022-10-21
1666396800000,7.4903,9.3333,7.3378,8.9347,82418870.0,2022-10-22
1666483200000,8.9324,10.2666,8.864,9.7709,121287213.0,2022-10-23
1666569600000,9.7708,9.976,9.23,9.5271,66533674.0,2022-10-24
1666656000000,9.5273,9.558,8.5127,8.7854,67527820.0,2022-10-25
1666742400000,8.7854,9.29,8.6047,9.201,52327159.0,2022-10-26
1666828800000,9.2019,9.6343,8.6,8.7062,41565647.0,2022-10-27
1666915200000,8.7061,8.8272,7.9,8.1853,38085948.0,2022-10-28
1667001600000,8.1812,8.3766,7.5817,7.9541,29021449.0,2022-10-29
1667088000000,7.9559,8.3638,7.6,7.8031,21573464.0,2022-10-30
1667174400000,7.8046,8.2205,7.6651,7.9387,19005537.0,2022-10-31
1667260800000,7.9348,8.32,7.8158,8.1921,19667713.0,2022-11-01
1667347200000,8.1924,8.2098,7.1001,7.375,22725648.0,2022-11-02
1667433600000,7.3761,7.5619,7.1666,7.2298,10176729.0,2022-11-03
1667520000000,7.2312,7.7911,7.1565,7.6527,11501827.0,2022-11-04
1667606400000,7.6542,8.0034,7.5156,7.6244,14453096.0,2022-11-05
1667692800000,7.6258,8.23,7.2,7.3092,27206475.0,2022-11-06
1667779200000,7.3089,7.4619,6.7776,7.0023,15600398.0,2022-11-07
1667865600000,7.0034,7.0229,4.4735,5.3664,36558471.0,2022-11-08
1667952000000,5.3678,5.3854,3.45,3.9375,36161363.0,2022-11-09
1668038400000,3.9376,5.5226,3.8385,5.1533,31263993.0,2022-11-10
1668124800000,5.1534,5.3507,4.4638,5.1833,17261501.0,2022-11-11
1668211200000,5.1812,5.1857,4.4076,4.5418,11365974.0,2022-11-12
1668297600000,4.5418,4.62,4.1141,4.2202,11954534.0,2022-11-13
1668384000000,4.2197,4.5114,3.7619,4.1921,14672760.0,2022-11-14
1668470400000,4.1919,4.7199,4.1079,4.3368,16524187.0,2022-11-15
1668556800000,4.3365,4.9679,4.1,4.4961,20730458.0,2022-11-16
1668643200000,4.4988,4.8432,4.3529,4.6607,23014646.0,2022-11-17
1668729600000,4.665,4.9337,4.5127,4.7231,15986060.0,2022-11-18
1668816000000,4.7236,4.7724,4.5001,4.6206,7611145.0,2022-11-19
1668902400000,4.6217,4.6356,4.0274,4.1013,8274793.0,2022-11-20
1668988800000,4.0995,4.1545,3.865,4.0638,11069365.0,2022-11-21
1669075200000,4.063,4.5366,3.8517,4.3137,11634670.0,2022-11-22
1669161600000,4.317,4.6051,4.2436,4.4414,9821006.0,2022-11-23
1669248000000,4.4423,4.73,4.2103,4.44,12206806.0,2022-11-24
1669334400000,4.4407,4.5583,4.2556,4.4282,9076400.0,2022-11-25
1669420800000,4.4296,5.0494,4.4066,4.768,17726661.0,2022-11-26
