ts,open,high,low,close,volume,date
1676332800000,10.42,11.29,10.3,11.15,84966.0,2023-02-14
1676419200000,11.16,12.2,10.97,12.16,255090.9,2023-02-15
1676505600000,12.17,12.88,11.37,11.45,244395.2,2023-02-16
1676592000000,11.45,14.17,11.41,13.37,1081001.4,2023-02-17
1676678400000,13.37,13.8,12.19,12.38,417797.6,2023-02-18
1676764800000,12.37,13.82,12.33,12.52,1017638.8,2023-02-19
1676851200000,12.53,13.24,12.0,12.77,569601.0,2023-02-20
1676937600000,12.77,12.79,11.35,11.62,617545.5,2023-02-21
1677024000000,11.63,12.1,10.67,11.21,725041.8,2023-02-22
1677110400000,11.21,11.48,10.72,10.98,525766.5,2023-02-23
1677196800000,10.98,11.15,10.02,10.23,568668.9,2023-02-24
1677283200000,10.23,10.32,9.36,9.87,448059.2,2023-02-25
1677369600000,9.87,10.34,9.77,10.26,301660.8,2023-02-26
1677456000000,10.26,10.76,9.88,10.46,872717.4,2023-02-27
1677542400000,10.46,10.65,9.71,9.85,677790.4,2023-02-28
1677628800000,9.85,10.45,9.79,10.16,665002.8,2023-03-01
1677715200000,10.16,10.21,9.41,9.82,675424.7,2023-03-02
1677801600000,9.81,9.81,8.31,9.18,1220012.8,2023-03-03
1677888000000,9.19,9.28,8.58,8.88,594038.2,2023-03-04
1677974400000,8.88,9.3,8.63,8.72,547970.9,2023-03-05
1678060800000,8.71,8.97,8.52,8.77,747313.0,2023-03-06
1678147200000,8.78,9.01,8.05,8.38,1322868.9,2023-03-07
1678233600000,8.38,8.45,7.38,7.61,1242959.3,2023-03-08
1678320000000,7.61,8.07,7.16,7.45,1531327.1,2023-03-09
1678406400000,7.45,7.72,6.87,7.67,1592277.9,2023-03-10
1678492800000,7.66,7.81,7.0,7.53,1183692.8,2023-03-11
1678579200000,7.53,8.29,7.31,8.29,995751.7,2023-03-12
1678665600000,8.28,8.73,7.85,8.51,1207192.9,2023-03-13
1678752000000,8.52,9.31,8.21,8.79,1489677.2,2023-03-14
1678838400000,8.78,8.97,7.5,7.87,992962.8,2023-03-15
1678924800000,7.86,8.89,7.73,8.62,1047490.0,2023-03-16
1679011200000,8.61,9.46,8.48,9.46,1264613.2,2023-03-17
1679097600000,9.45,9.78,8.83,8.91,956962.6,2023-03-18
1679184000000,8.92,9.23,8.79,9.04,610461.4,2023-03-19
1679270400000,9.05,9.3,8.29,8.5,879745.1,2023-03-20
1679356800000,8.5,8.99,8.31,8.83,958114.5,2023-03-21
1679443200000,8.84,8.89,8.22,8.45,1070956.2,2023-03-22
1679529600000,8.46,8.83,8.29,8.56,788225.9,2023-03-23
1679616000000,8.56,8.62,7.89,8.09,850582.7,2023-03-24
1679702400000,8.09,8.2,7.88,7.98,421871.6,2023-03-25
1679788800000,7.97,8.33,7.93,8.25,350251.1,2023-03-26
1679875200000,8.25,8.27,7.56,7.79,720580.2,2023-03-27
1679961600000,7.79,8.18,7.62,8.07,650925.5,2023-03-28
1680048000000,8.07,8.67,8.03,8.52,604175.0,2023-03-29
1680134400000,8.53,8.63,8.05,8.2,709027.7,2023-03-30
1680220800000,8.21,8.86,8.05,8.73,634084.8,2023-03-31
1680307200000,8.73,9.01,8.52,8.72,792005.5,2023-04-01
1680393600000,8.73,8.91,8.15,8.3,618225.8,2023-04-02
1680480000000,8.3,8.45,8.06,8.24,699785.6,2023-04-03
1680566400000,8.25,8.74,8.14,8.46,631989.7,2023-04-04
1680652800000,8.46,8.76,8.28,8.58,436210.2,2023-04-05
1680739200000,8.58,8.59,8.23,8.41,381709.1,2023-04-06
1680825600000,8.4,8.52,8.21,8.44,419481.9,2023-04-07
1680912000000,8.45,8.65,8.25,8.29,286444.3,2023-04-08
1680998400000,8.29,8.5,8.18,8.41,260059.1,2023-04-09
1681084800000,8.41,8.87,8.32,8.82,609614.7,2023-04-10
1681171200000,8.81,8.84,8.61,8.67,465305.7,2023-04-11
1681257600000,8.68,8.72,8.24,8.53,499784.3,2023-04-12
1681344000000,8.54,8.97,8.43,8.97,418701.1,2023-04-13
1681430400000,8.97,9.23,8.81,9.12,749803.4,2023-04-14
1681516800000,9.12,9.28,8.91,9.18,577578.6,2023-04-15
1681603200000,9.18,9.49,9.05,9.37,537105.0,2023-04-16
1681689600000,9.37,9.4,8.91,9.1,489861.0,2023-04-17
1681776000000,9.09,9.37,8.93,9.21,581544.2,2023-04-18
1681862400000,9.21,9.22,8.08,8.21,779924.3,2023-04-19
1681948800000,8.21,8.31,7.75,7.88,544124.8,2023-04-20
1682035200000,7.88,7.99,7.5,7.66,464137.7,2023-04-21
1682121600000,7.66,7.87,7.58,7.87,214900.2,2023-04-22
1682208000000,7.87,7.89,7.52,7.77,230788.4,2023-04-23
1682294400000,7.77,7.89,7.53,7.72,252267.0,2023-04-24
1682380800000,7.73,7.87,7.44,7.81,296780.3,2023-04-25
1682467200000,7.82,8.07,7.12,7.64,668499.9,2023-04-26
1682553600000,7.62,7.92,7.56,7.81,368407.9,2023-04-27
1682640000000,7.82,7.82,7.59,7.79,236609.4,2023-04-28
1682726400000,7.78,7.88,7.66,7.79,179333.6,2023-04-29
1682812800000,7.79,7.81,7.52,7.54,265452.7,2023-04-30
1682899200000,7.55,7.74,7.31,7.47,671767.9,2023-05-01
1682985600000,7.48,7.67,7.4,7.65,311757.0,2023-05-02
1683072000000,7.65,7.91,7.42,7.83,415128.8,2023-05-03
1683158400000,7.83,7.93,7.67,7.76,410299.9,2023-05-04
1683244800000,7.75,8.01,7.6,7.95,838224.6,2023-05-05
1683331200000,7.94,8.01,7.23,7.36,1324663.2,2023-05-06
1683417600000,7.36,7.44,7.19,7.23,728670.9,2023-05-07
1683504000000,7.23,7.28,6.31,6.58,1071060.5,2023-05-08
1683590400000,6.58,6.65,6.44,6.59,425744.3,2023-05-09
1683676800000,6.6,7.08,6.55,6.99,1369432.5,2023-05-10
1683763200000,6.99,6.99,6.35,6.46,738412.7,2023-05-11
1683849600000,6.45,6.65,6.18,6.65,910665.0,2023-05-12
1683936000000,6.64,6.65,6.39,6.47,422963.5,2023-05-13
1684022400000,6.47,6.7,6.35,6.64,501113.6,2023-05-14
1684108800000,6.64,6.81,6.51,6.66,659801.2,2023-05-15
1684195200000,6.66,6.72,6.55,6.64,756994.5,2023-05-16
1684281600000,6.64,6.98,6.52,6.91,642837.1,2023-05-17
1684368000000,6.91,6.93,6.6,6.83,752064.1,2023-05-18
1684454400000,6.83,6.89,6.73,6.82,318455.1,2023-05-19
1684540800000,6.82,6.87,6.72,6.79,218539.6,2023-05-20
1684627200000,6.79,6.81,6.56,6.64,232090.1,2023-05-21
1684713600000,6.64,6.77,6.52,6.74,319235.7,2023-05-22
1684800000000,6.75,6.87,6.68,6.74,283780.9,2023-05-23
1684886400000,6.73,6.76,6.38,6.52,533482.2,2023-05-24
1684972800000,6.52,6.56,6.36,6.53,500000.8,2023-05-25
1685059200000,6.53,6.71,6.46,6.67,366968.7,2023-05-26
1685145600000,6.67,6.82,6.64,6.8,241102.4,2023-05-27
1685232000000,6.8,7.1,6.75,7.01,249345.3,2023-05-28
1685318400000,7.01,7.05,6.73,6.79,306986.8,2023-05-29
1685404800000,6.78,7.03,6.72,6.88,309724.8,2023-05-30
1685491200000,6.88,6.93,6.45,6.57,439348.8,2023-05-31
1685577600000,6.57,6.72,6.46,6.67,240741.6,2023-06-01
1685664000000,6.67,6.99,6.58,6.96,276012.7,2023-06-02
1685750400000,6.96,6.96,6.81,6.85,194603.4,2023-06-03
1685836800000,6.85,6.95,6.78,6.85,145131.3,2023-06-04
1685923200000,6.85,6.85,6.01,6.28,705818.8,2023-06-05
1686009600000,6.27,6.54,6.08,6.43,545928.8,2023-06-06
1686096000000,6.44,6.44,6.0,6.14,523470.3,2023-06-07
1686182400000,6.13,6.22,6.01,6.15,427109.6,2023-06-08
1686268800000,6.16,6.29,6.04,6.11,339029.8,2023-06-09
1686355200000,6.1,6.11,4.08,4.91,2635272.6,2023-06-10
1686441600000,4.92,5.12,4.78,5.0,717881.0,2023-06-11
1686528000000,5.0,5.18,4.84,5.14,1063701.0,2023-06-12
1686614400000,5.14,5.32,5.06,5.2,763240.4,2023-06-13
1686700800000,5.2,5.29,4.91,5.0,633840.5,2023-06-14
1686787200000,5.0,5.11,4.79,4.98,753451.0,2023-06-15
1686873600000,4.97,5.21,4.91,5.108,715876.1,2023-06-16
1686960000000,5.107,5.295,5.003,5.017,596253.0,2023-06-17
1687046400000,5.017,5.101,4.906,4.943,670629.4,2023-06-18
1687132800000,4.94,4.976,4.805,4.888,532888.2,2023-06-19
1687219200000,4.888,5.157,4.833,5.122,718097.3,2023-06-20
1687305600000,5.122,5.494,5.098,5.42,822701.3,2023-06-21
1687392000000,5.419,5.586,5.14,5.154,523735.1,2023-06-22
1687478400000,5.159,5.475,5.105,5.362,381231.2,2023-06-23
1687564800000,5.361,5.469,5.179,5.371,417481.0,2023-06-24
1687651200000,5.369,5.716,5.367,5.557,772997.9,2023-06-25
1687737600000,5.555,5.586,5.307,5.429,480633.3,2023-06-26
1687824000000,5.429,5.625,5.404,5.497,460741.7,2023-06-27
1687910400000,5.501,5.51,4.925,5.142,594549.4,2023-06-28
1687996800000,5.141,5.32,5.108,5.213,297097.0,2023-06-29
1688083200000,5.214,5.527,4.957,5.495,1022061.9,2023-06-30
1688169600000,5.495,5.818,5.37,5.719,713170.1,2023-07-01
1688256000000,5.718,5.881,5.503,5.881,482375.6,2023-07-02
1688342400000,5.881,6.158,5.774,5.878,914065.2,2023-07-03
1688428800000,5.877,6.134,5.775,5.999,680525.6,2023-07-04
1688515200000,5.999,6.275,5.68,5.827,1964462.5,2023-07-05
1688601600000,5.827,6.06,5.524,5.53,808561.3,2023-07-06
1688688000000,5.524,5.75,5.436,5.73,374205.0,2023-07-07
1688774400000,5.735,5.837,5.646,5.825,399287.9,2023-07-08
1688860800000,5.826,5.913,5.78,5.857,266311.1,2023-07-09
1688947200000,5.859,6.11,5.722,5.952,510875.7,2023-07-10
1689033600000,5.947,5.974,5.82,5.861,228507.0,2023-07-11
1689120000000,5.861,5.961,5.631,5.713,303010.2,2023-07-12
1689206400000,5.713,6.185,5.64,6.099,703483.4,2023-07-13
1689292800000,6.102,6.254,5.642,5.842,731631.7,2023-07-14
1689379200000,5.844,5.989,5.776,5.985,293619.6,2023-07-15
1689465600000,5.984,6.008,5.609,5.655,379966.6,2023-07-16
1689552000000,5.654,5.769,5.495,5.722,479364.7,2023-07-17
1689638400000,5.722,5.775,5.541,5.687,325300.9,2023-07-18
1689724800000,5.687,5.807,5.637,5.669,246410.8,2023-07-19
1689811200000,5.668,6.119,5.639,5.938,567343.0,2023-07-20
1689897600000,5.938,6.111,5.854,5.886,407364.5,2023-07-21
1689984000000,5.888,6.042,5.829,5.909,317808.7,2023-07-22
1690070400000,5.909,6.248,5.889,6.133,493210.3,2023-07-23
1690156800000,6.132,6.164,5.609,5.67,596199.1,2023-07-24
1690243200000,5.667,5.69,5.558,5.601,280847.0,2023-07-25
1690329600000,5.601,5.726,5.473,5.639,348087.5,2023-07-26
1690416000000,5.638,5.789,5.588,5.639,218762.8,2023-07-27
1690502400000,5.638,5.757,5.606,5.633,173890.0,2023-07-28
1690588800000,5.633,5.672,5.556,5.6,147713.8,2023-07-29
1690675200000,5.599,5.645,5.332,5.494,380702.2,2023-07-30
1690761600000,5.492,5.566,5.368,5.455,245470.5,2023-07-31
1690848000000,5.455,5.58,5.253,5.578,450002.6,2023-08-01
1690934400000,5.581,5.605,5.242,5.344,352794.8,2023-08-02
1691020800000,5.343,5.405,5.233,5.261,241282.9,2023-08-03
1691107200000,5.261,5.359,5.162,5.216,227015.9,2023-08-04
1691193600000,5.214,5.302,5.17,5.272,166763.8,2023-08-05
1691280000000,5.273,5.417,5.202,5.235,302679.4,2023-08-06
1691366400000,5.238,5.306,5.105,5.198,484174.3,2023-08-07
1691452800000,5.199,5.379,5.186,5.266,422092.9,2023-08-08
1691539200000,5.265,5.355,5.196,5.303,444906.6,2023-08-09
1691625600000,5.302,5.325,5.0,5.014,659265.1,2023-08-10
1691712000000,5.013,5.033,4.87,4.937,867455.9,2023-08-11
1691798400000,4.937,5.211,4.924,5.206,986025.0,2023-08-12
1691884800000,5.206,5.355,5.162,5.233,992843.7,2023-08-13
1691971200000,5.233,5.453,5.14,5.413,846263.1,2023-08-14
1692057600000,5.413,5.418,4.902,5.188,1050463.9,2023-08-15
1692144000000,5.188,5.236,4.735,4.879,1688655.7,2023-08-16
1692230400000,4.88,5.183,4.208,4.69,2710662.0,2023-08-17
1692316800000,4.69,4.926,4.239,4.319,3065451.3,2023-08-18
1692403200000,4.318,4.468,4.243,4.449,1676063.7,2023-08-19
1692489600000,4.45,4.638,4.379,4.498,1599422.8,2023-08-20
1692576000000,4.497,4.557,4.309,4.399,1306653.1,2023-08-21
1692662400000,4.399,4.448,4.139,4.383,1119992.4,2023-08-22
1692748800000,4.384,4.537,4.308,4.429,913318.5,2023-08-23
1692835200000,4.43,4.435,4.092,4.171,775273.2,2023-08-24
1692921600000,4.17,4.205,3.968,4.174,1297189.0,2023-08-25
1693008000000,4.174,4.271,4.158,4.191,527988.3,2023-08-26
1693094400000,4.192,4.239,4.142,4.207,412631.4,2023-08-27
1693180800000,4.207,4.312,4.12,4.196,751981.2,2023-08-28
1693267200000,4.198,4.461,4.115,4.405,1001353.2,2023-08-29
1693353600000,4.405,4.418,4.224,4.255,372304.9,2023-08-30
1693440000000,4.255,4.276,4.007,4.133,625595.0,2023-08-31
1693526400000,4.132,4.187,4.026,4.087,534613.8,2023-09-01
1693612800000,4.087,4.199,4.058,4.143,475629.7,2023-09-02
1693699200000,4.144,4.159,4.029,4.091,385891.0,2023-09-03
1693785600000,4.091,4.257,4.086,4.194,936459.1,2023-09-04
1693872000000,4.194,4.243,4.084,4.206,586512.0,2023-09-05
1693958400000,4.207,4.257,4.076,4.224,636971.8,2023-09-06
1694044800000,4.225,4.346,4.15,4.326,691140.6,2023-09-07
1694131200000,4.327,4.373,4.148,4.229,691769.2,2023-09-08
1694217600000,4.229,4.325,4.207,4.292,513745.3,2023-09-09
1694304000000,4.292,4.292,3.903,4.048,1134749.0,2023-09-10
1694390400000,4.047,4.087,3.814,3.902,1162534.6,2023-09-11
1694476800000,3.901,4.107,3.886,3.967,842504.0,2023-09-12
1694563200000,3.967,4.094,3.945,4.05,719339.4,2023-09-13
1694649600000,4.051,4.12,3.995,4.089,583031.0,2023-09-14
1694736000000,4.09,4.59,4.057,4.51,2099006.2,2023-09-15
1694822400000,4.51,4.758,4.301,4.375,1652691.6,2023-09-16
1694908800000,4.376,4.479,4.202,4.312,935015.4,2023-09-17
1694995200000,4.314,4.486,4.251,4.295,895239.8,2023-09-18
1695081600000,4.295,4.418,4.226,4.409,864322.3,2023-09-19
1695168000000,4.409,4.453,4.259,4.343,784826.4,2023-09-20
1695254400000,4.343,4.393,4.131,4.141,816138.0,2023-09-21
1695340800000,4.142,4.211,4.082,4.128,656818.0,2023-09-22
1695427200000,4.128,4.191,4.085,4.172,397941.2,2023-09-23
1695513600000,4.172,4.189,4.046,4.082,397770.8,2023-09-24
1695600000000,4.081,4.188,4.036,4.117,524895.2,2023-09-25
1695686400000,4.116,4.166,4.077,4.158,380834.4,2023-09-26
