ts,open,high,low,close,volume,date
1679529600000,1.0827,1.4872,1.04,1.319,406400080.0,2023-03-23
1679616000000,1.3192,1.564,1.17,1.2725,539031650.0,2023-03-24
1679702400000,1.2726,1.3149,1.1763,1.218,336854350.0,2023-03-25
1679788800000,1.2178,1.3466,1.2016,1.282,287474670.0,2023-03-26
1679875200000,1.2822,1.3258,1.114,1.1654,298063930.0,2023-03-27
1679961600000,1.1654,1.225,1.1075,1.2201,284671330.0,2023-03-28
1680048000000,1.2203,1.2767,1.1941,1.2257,193236320.0,2023-03-29
1680134400000,1.2256,1.4313,1.2228,1.3797,535031060.0,2023-03-30
1680220800000,1.3796,1.4449,1.3259,1.3896,300299740.0,2023-03-31
1680307200000,1.3895,1.4029,1.2573,1.2934,205935660.0,2023-04-01
1680393600000,1.2929,1.2993,1.1313,1.2017,317702910.0,2023-04-02
1680480000000,1.2016,1.2281,1.0949,1.1525,318795380.0,2023-04-03
1680566400000,1.1526,1.266,1.1473,1.2339,209985330.0,2023-04-04
1680652800000,1.2339,1.2907,1.2023,1.2424,184135390.0,2023-04-05
1680739200000,1.2423,1.2446,1.1806,1.2152,113704800.0,2023-04-06
1680825600000,1.2153,1.2474,1.1811,1.197,109866930.0,2023-04-07
1680912000000,1.1967,1.2105,1.1516,1.1616,92132290.0,2023-04-08
1680998400000,1.1617,1.2,1.1408,1.1811,108664970.0,2023-04-09
1681084800000,1.1811,1.2548,1.1622,1.2424,143916190.0,2023-04-10
1681171200000,1.2423,1.2596,1.2028,1.2165,105189050.0,2023-04-11
1681257600000,1.2166,1.2197,1.1521,1.1936,152982580.0,2023-04-12
1681344000000,1.1936,1.3779,1.1773,1.3685,319482110.0,2023-04-13
1681430400000,1.3685,1.7564,1.3677,1.698,926210950.0,2023-04-14
1681516800000,1.698,1.745,1.603,1.6543,511975060.0,2023-04-15
1681603200000,1.654,1.7235,1.5666,1.6951,364953100.0,2023-04-16
1681689600000,1.695,1.6993,1.58,1.6091,289933730.0,2023-04-17
1681776000000,1.6091,1.821,1.5833,1.6737,576537750.0,2023-04-18
1681862400000,1.6737,1.6973,1.4311,1.489,506001480.0,2023-04-19
1681948800000,1.4889,1.5408,1.4006,1.4419,447879320.0,2023-04-20
1682035200000,1.4419,1.5033,1.408,1.4714,410250060.0,2023-04-21
1682121600000,1.4714,1.5013,1.423,1.4648,287599070.0,2023-04-22
