ts,open,high,low,close,volume,date
1658966400000,23.4,24.71,22.4,24.2,2441377.0,2022-07-28
1659052800000,24.21,25.39,23.48,24.46,2291878.0,2022-07-29
1659139200000,24.48,25.83,23.92,24.23,1797362.0,2022-07-30
1659225600000,24.24,25.24,23.52,23.7,1241078.0,2022-07-31
1659312000000,23.7,24.33,22.95,23.56,1396946.0,2022-08-01
1659398400000,23.58,24.01,22.23,22.84,1604734.0,2022-08-02
1659484800000,22.84,24.21,22.27,23.05,1264053.0,2022-08-03
1659571200000,23.04,24.02,22.87,23.37,1040850.0,2022-08-04
1659657600000,23.38,25.01,23.08,24.97,1355335.0,2022-08-05
1659744000000,24.97,26.96,24.72,26.64,2119394.0,2022-08-06
1659830400000,26.63,28.55,25.81,27.88,2731941.0,2022-08-07
1659916800000,27.88,30.95,27.56,27.92,3199341.0,2022-08-08
1660003200000,27.92,28.79,26.95,27.41,2532885.0,2022-08-09
1660089600000,27.41,30.2,26.59,29.18,2902279.0,2022-08-10
1660176000000,29.17,30.14,28.28,28.52,1899279.0,2022-08-11
1660262400000,28.54,29.46,28.07,29.34,1300570.0,2022-08-12
1660348800000,29.35,30.36,28.86,29.18,1343560.0,2022-08-13
1660435200000,29.18,29.87,27.84,28.18,1049635.0,2022-08-14
1660521600000,28.18,29.3,27.08,27.88,1530003.0,2022-08-15
1660608000000,27.89,28.42,26.92,27.12,1512775.0,2022-08-16
1660694400000,27.1,28.23,25.25,25.56,1798807.0,2022-08-17
1660780800000,25.57,26.3,23.89,24.2,1512930.0,2022-08-18
1660867200000,24.19,24.43,21.23,22.44,4360326.0,2022-08-19
1660953600000,22.44,23.08,21.62,22.3,1728122.0,2022-08-20
1661040000000,22.29,23.55,22.14,22.97,1609863.0,2022-08-21
1661126400000,22.97,23.0,21.62,22.58,1771349.0,2022-08-22
1661212800000,22.57,23.74,21.82,23.51,1796587.0,2022-08-23
1661299200000,23.52,23.65,22.8,23.02,1257940.0,2022-08-24
1661385600000,23.0,23.66,22.65,22.98,1073558.0,2022-08-25
1661472000000,22.98,23.23,20.32,20.64,2379374.0,2022-08-26
1661558400000,20.65,20.9,19.76,20.05,1531840.0,2022-08-27
1661644800000,20.04,20.46,18.05,18.52,1767251.0,2022-08-28
1661731200000,18.51,19.48,17.47,19.33,3128302.0,2022-08-29
1661817600000,19.33,20.65,18.86,19.39,2894664.0,2022-08-30
1661904000000,19.4,20.06,18.98,19.15,2174487.0,2022-08-31
1661990400000,19.13,19.49,18.32,19.31,1669364.0,2022-09-01
1662076800000,19.32,19.65,18.67,18.85,1384905.0,2022-09-02
1662163200000,18.84,19.0,18.57,18.89,657633.0,2022-09-03
1662249600000,18.89,19.17,18.72,19.02,849450.0,2022-09-04
1662336000000,19.02,19.49,18.43,19.44,883959.0,2022-09-05
1662422400000,19.46,20.51,18.13,18.2,2175296.0,2022-09-06
1662508800000,18.2,19.3,17.82,19.0,1070083.0,2022-09-07
1662595200000,19.01,19.18,18.4,19.13,1226285.0,2022-09-08
1662681600000,19.13,20.82,19.1,20.39,1848214.0,2022-09-09
1662768000000,20.39,21.2,20.04,20.45,1322363.0,2022-09-10
1662854400000,20.45,20.97,19.93,20.69,915933.0,2022-09-11
1662940800000,20.69,21.93,20.05,21.37,2566817.0,2022-09-12
1663027200000,21.36,21.79,18.75,18.86,2699191.0,2022-09-13
1663113600000,18.85,19.31,18.43,19.1,1269612.0,2022-09-14
1663200000000,19.11,19.38,18.07,18.19,1575029.0,2022-09-15
1663286400000,18.2,18.3,17.55,18.07,1279050.0,2022-09-16
1663372800000,18.07,18.59,18.05,18.47,590966.0,2022-09-17
1663459200000,18.47,18.77,16.18,16.7,1791392.0,2022-09-18
1663545600000,16.7,17.37,16.39,17.27,1286708.0,2022-09-19
1663632000000,17.27,17.42,16.57,16.65,852609.0,2022-09-20
1663718400000,16.66,17.95,16.18,16.53,2182228.0,2022-09-21
1663804800000,16.53,17.88,16.39,17.67,1120736.0,2022-09-22
1663891200000,17.68,18.25,17.15,17.97,1208828.0,2022-09-23
1663977600000,17.97,18.2,17.54,17.6,644967.0,2022-09-24
1664064000000,17.6,17.87,17.12,17.33,559323.0,2022-09-25
1664150400000,17.33,17.59,16.96,17.57,886598.0,2022-09-26
1664236800000,17.57,18.48,17.04,17.29,1273441.0,2022-09-27
