ts,open,high,low,close,volume,date
1658966400000,22950.0,24200.0,22590.0,23843.6,172782.65,2022-07-28
1659052800000,23843.6,24468.8,23432.9,23770.9,154173.26,2022-07-29
1659139200000,23770.9,24695.5,23499.6,23642.6,114717.78,2022-07-30
1659225600000,23642.6,24200.0,23228.0,23299.9,88521.52,2022-07-31
1659312000000,23300.0,23513.0,22834.0,23266.1,111817.61,2022-08-01
1659398400000,23266.0,23485.2,22650.2,22982.0,124502.87,2022-08-02
1659484800000,22983.0,23650.0,22690.0,22815.0,118111.71,2022-08-03
1659571200000,22815.0,23220.0,22365.8,22619.6,108925.2,2022-08-04
1659657600000,22619.6,23480.1,22583.1,23306.3,122298.08,2022-08-05
1659744000000,23306.3,23350.0,22886.1,22953.5,46045.75,2022-08-06
1659830400000,22952.2,23413.5,22848.0,23178.3,52174.85,2022-08-07
1659916800000,23178.3,24249.5,23159.1,23815.0,118504.1,2022-08-08
1660003200000,23814.1,23923.0,22851.7,23151.4,95680.49,2022-08-09
1660089600000,23149.6,24228.0,22650.0,23953.2,158681.95,2022-08-10
1660176000000,23952.5,24925.0,23853.8,23934.2,167695.22,2022-08-11
1660262400000,23934.3,24450.0,23582.5,24400.1,94643.26,2022-08-12
1660348800000,24401.1,24883.4,24286.2,24440.4,98027.09,2022-08-13
1660435200000,24440.5,25038.0,24139.0,24305.7,102898.3,2022-08-14
1660521600000,24305.7,25212.0,23777.0,24093.7,172303.53,2022-08-15
1660608000000,24094.5,24250.0,23672.0,23858.9,105692.37,2022-08-16
1660694400000,23858.9,24450.0,23177.0,23338.8,135398.99,2022-08-17
1660780800000,23338.8,23597.5,23109.5,23200.0,76884.46,2022-08-18
1660867200000,23195.1,23213.0,20788.0,20835.2,187991.39,2022-08-19
1660953600000,20835.2,21366.1,20762.0,21141.2,110628.81,2022-08-20
1661040000000,21141.3,21788.1,21069.1,21515.4,89269.63,2022-08-21
1661126400000,21515.5,21554.0,20900.0,21399.5,109726.37,2022-08-22
1661212800000,21399.5,21680.0,20871.9,21522.8,112182.38,2022-08-23
1661299200000,21525.4,21900.0,21139.4,21366.4,93695.06,2022-08-24
1661385600000,21366.4,21816.0,21310.1,21562.1,70193.71,2022-08-25
1661472000000,21562.0,21900.0,20083.6,20236.4,183928.49,2022-08-26
1661558400000,20236.5,20378.7,19777.0,20038.5,98702.64,2022-08-27
1661644800000,20038.5,20168.0,19520.0,19558.0,77086.97,2022-08-28
1661731200000,19557.9,20425.0,19552.4,20290.0,115762.38,2022-08-29
1661817600000,20286.9,20573.5,19500.2,19812.4,140556.89,2022-08-30
1661904000000,19813.5,20494.0,19800.3,20052.6,121007.29,2022-08-31
1661990400000,20052.5,20206.1,19553.2,20133.6,123819.9,2022-09-01
1662076800000,20132.3,20438.1,19755.0,19948.6,134694.15,2022-09-02
1662163200000,19948.6,20055.8,19650.3,19831.6,52834.86,2022-09-03
1662249600000,19831.5,20032.0,19584.1,20003.6,84215.31,2022-09-04
1662336000000,20000.7,20063.5,19634.5,19790.9,84274.44,2022-09-05
1662422400000,19791.0,20183.5,18635.5,18788.4,207728.88,2022-09-06
1662508800000,18788.4,19461.6,18506.7,19296.0,115734.05,2022-09-07
1662595200000,19295.9,19459.9,19011.4,19317.9,127243.69,2022-09-08
1662681600000,19317.9,21664.5,19290.9,21358.6,276818.32,2022-09-09
1662768000000,21358.7,21814.8,21122.0,21644.2,119020.47,2022-09-10
1662854400000,21645.3,21880.0,21350.2,21830.5,111377.08,2022-09-11
1662940800000,21830.5,22499.1,21546.8,22396.4,220812.27,2022-09-12
1663027200000,22394.8,22800.0,19841.4,20166.5,323491.04,2022-09-13
1663113600000,20167.7,20534.1,19605.0,20229.9,156135.52,2022-09-14
1663200000000,20227.4,20324.9,19470.0,19701.3,153711.61,2022-09-15
1663286400000,19701.4,19888.0,19319.3,19799.3,117060.1,2022-09-16
1663372800000,19799.1,20187.8,19750.0,20111.5,75836.11,2022-09-17
1663459200000,20111.6,20115.5,19335.4,19417.3,100363.12,2022-09-18
1663545600000,19416.8,19687.2,18216.0,19539.6,219603.92,2022-09-19
1663632000000,19539.5,19633.0,18702.1,18877.6,163431.67,2022-09-20
1663718400000,18877.5,20040.0,18106.3,18458.5,302579.33,2022-09-21
1663804800000,18456.0,19523.0,18352.2,19402.9,195829.83,2022-09-22
1663891200000,19401.4,19498.9,18528.5,19286.9,178429.04,2022-09-23
1663977600000,19287.0,19312.0,18804.0,18920.3,89483.45,2022-09-24
1664064000000,18920.2,19200.0,18625.8,18812.0,90589.49,2022-09-25
1664150400000,18808.9,19321.1,18683.1,19226.7,165143.46,2022-09-26
1664236800000,19226.6,20385.7,18810.0,19082.0,272066.71,2022-09-27
1664323200000,19082.1,19787.8,18433.0,19415.0,241609.43,2022-09-28
1664409600000,19414.4,19650.0,18842.8,19588.1,204073.5,2022-09-29
1664496000000,19588.1,20178.6,19152.2,19424.4,237096.65,2022-09-30
1664582400000,19424.5,19483.3,19156.0,19311.2,63209.58,2022-10-01
1664668800000,19311.2,19399.0,18905.0,19056.2,90461.63,2022-10-02
1664755200000,19056.1,19745.8,18960.0,19626.1,131622.21,2022-10-03
1664841600000,19628.4,20479.3,19491.6,20332.1,174369.43,2022-10-04
1664928000000,20332.0,20360.2,19720.0,20160.1,148179.78,2022-10-05
1665014400000,20160.1,20449.1,19855.0,19961.4,153000.37,2022-10-06
