ts,open,high,low,close,volume,date
1658966400000,1.325,1.588,1.244,1.543,46745557.0,2022-07-28
1659052800000,1.544,1.583,1.4,1.426,40046208.0,2022-07-29
1659139200000,1.425,1.479,1.338,1.359,31570321.0,2022-07-30
1659225600000,1.36,1.434,1.305,1.317,18523531.0,2022-07-31
1659312000000,1.317,1.362,1.267,1.307,17780711.0,2022-08-01
1659398400000,1.307,1.39,1.215,1.335,22000241.0,2022-08-02
1659484800000,1.335,1.432,1.279,1.332,18725458.0,2022-08-03
1659571200000,1.332,1.4,1.292,1.328,12774927.0,2022-08-04
1659657600000,1.329,1.449,1.322,1.441,20063708.0,2022-08-05
1659744000000,1.441,1.453,1.367,1.375,12775943.0,2022-08-06
1659830400000,1.374,1.423,1.349,1.402,11308079.0,2022-08-07
1659916800000,1.401,1.494,1.393,1.428,19386010.0,2022-08-08
1660003200000,1.427,1.432,1.229,1.293,22249612.0,2022-08-09
1660089600000,1.293,1.394,1.244,1.387,23745513.0,2022-08-10
1660176000000,1.388,1.444,1.35,1.36,16248879.0,2022-08-11
1660262400000,1.361,1.422,1.334,1.42,11418343.0,2022-08-12
1660348800000,1.421,1.471,1.408,1.435,10111938.0,2022-08-13
1660435200000,1.435,1.492,1.365,1.388,14274189.0,2022-08-14
1660521600000,1.388,1.461,1.308,1.334,19185501.0,2022-08-15
1660608000000,1.334,1.345,1.279,1.285,13704574.0,2022-08-16
1660694400000,1.285,1.335,1.165,1.183,21479510.0,2022-08-17
1660780800000,1.183,1.221,1.085,1.114,20603600.0,2022-08-18
1660867200000,1.114,1.116,1.01,1.049,34656689.0,2022-08-19
1660953600000,1.05,1.093,0.969,0.999,26130539.0,2022-08-20
1661040000000,0.998,1.051,0.988,1.024,19017315.0,2022-08-21
1661126400000,1.025,1.106,0.974,1.101,25089107.0,2022-08-22
1661212800000,1.1,1.201,1.065,1.183,30397436.0,2022-08-23
1661299200000,1.185,1.225,1.135,1.178,18169722.0,2022-08-24
1661385600000,1.178,1.238,1.164,1.18,13874499.0,2022-08-25
1661472000000,1.18,1.214,1.042,1.054,24968249.0,2022-08-26
1661558400000,1.054,1.067,1.018,1.047,11471341.0,2022-08-27
1661644800000,1.048,1.065,0.987,0.992,12542856.0,2022-08-28
1661731200000,0.993,1.087,0.97,1.08,10956796.0,2022-08-29
1661817600000,1.08,1.118,1.022,1.063,14447145.0,2022-08-30
1661904000000,1.064,1.189,1.063,1.146,35501479.0,2022-08-31
1661990400000,1.147,1.166,1.062,1.153,22842887.0,2022-09-01
1662076800000,1.154,1.184,1.078,1.094,19934322.0,2022-09-02
1662163200000,1.094,1.11,1.057,1.073,11080374.0,2022-09-03
1662249600000,1.074,1.104,1.045,1.094,13267800.0,2022-09-04
1662336000000,1.093,1.161,1.059,1.152,17192122.0,2022-09-05
1662422400000,1.152,1.201,1.017,1.037,44189825.0,2022-09-06
1662508800000,1.037,1.19,1.013,1.167,26733546.0,2022-09-07
1662595200000,1.167,1.177,1.105,1.129,25397770.0,2022-09-08
1662681600000,1.13,1.25,1.127,1.204,28029690.0,2022-09-09
1662768000000,1.205,1.278,1.164,1.243,20983555.0,2022-09-10
1662854400000,1.243,1.256,1.152,1.182,18929948.0,2022-09-11
1662940800000,1.182,1.206,1.123,1.143,20560081.0,2022-09-12
1663027200000,1.144,1.153,1.04,1.052,29338572.0,2022-09-13
1663113600000,1.052,1.131,1.029,1.071,22295140.0,2022-09-14
1663200000000,1.07,1.093,1.016,1.053,26780566.0,2022-09-15
1663286400000,1.053,1.076,1.021,1.06,21348887.0,2022-09-16
1663372800000,1.06,1.089,1.045,1.083,10531515.0,2022-09-17
