ts,open,high,low,close,volume,date
1658966400000,7.681,8.077,7.45,7.852,14583343.0,2022-07-28
1659052800000,7.853,8.427,7.759,8.183,13042507.0,2022-07-29
1659139200000,8.183,8.85,8.15,8.209,11963831.0,2022-07-30
1659225600000,8.211,9.212,8.074,8.624,13867433.0,2022-07-31
1659312000000,8.623,8.987,8.022,8.179,13166547.0,2022-08-01
1659398400000,8.18,8.274,7.672,7.926,11890807.0,2022-08-02
1659484800000,7.924,8.449,7.658,7.995,8597638.0,2022-08-03
1659571200000,7.994,8.279,7.884,8.091,7436087.0,2022-08-04
1659657600000,8.091,8.841,8.07,8.803,10403373.0,2022-08-05
1659744000000,8.805,8.88,8.485,8.522,6029847.0,2022-08-06
1659830400000,8.521,8.937,8.34,8.648,5826719.0,2022-08-07
1659916800000,8.65,9.39,8.633,9.272,12162578.0,2022-08-08
1660003200000,9.271,9.477,8.63,8.897,9983280.0,2022-08-09
1660089600000,8.897,9.652,8.542,9.527,12786101.0,2022-08-10
1660176000000,9.526,9.65,9.124,9.196,8698247.0,2022-08-11
1660262400000,9.198,9.499,9.031,9.478,8137617.0,2022-08-12
1660348800000,9.48,9.686,9.245,9.301,5541776.0,2022-08-13
1660435200000,9.303,9.563,8.817,8.953,6127384.0,2022-08-14
1660521600000,8.954,9.387,8.614,8.786,7922647.0,2022-08-15
1660608000000,8.785,8.96,8.634,8.836,6049376.0,2022-08-16
1660694400000,8.835,9.171,8.313,8.375,9904528.0,2022-08-17
1660780800000,8.373,8.6,7.966,8.084,6666769.0,2022-08-18
1660867200000,8.081,8.093,7.218,7.302,13133460.0,2022-08-19
1660953600000,7.303,7.52,7.023,7.226,6583227.0,2022-08-20
1661040000000,7.227,7.532,7.165,7.437,5987279.0,2022-08-21
1661126400000,7.434,7.442,6.993,7.401,7547374.0,2022-08-22
1661212800000,7.402,7.717,7.181,7.64,7427479.0,2022-08-23
1661299200000,7.64,7.774,7.412,7.563,6532414.0,2022-08-24
1661385600000,7.564,7.759,7.451,7.58,5237527.0,2022-08-25
1661472000000,7.58,7.688,6.859,6.922,10428973.0,2022-08-26
1661558400000,6.922,7.104,6.791,7.046,5838939.0,2022-08-27
1661644800000,7.045,7.152,6.809,6.857,4119146.0,2022-08-28
1661731200000,6.857,7.313,6.783,7.273,5562721.0,2022-08-29
1661817600000,7.272,7.377,6.874,7.01,4555347.0,2022-08-30
1661904000000,7.01,7.291,6.979,7.031,5527997.0,2022-08-31
1661990400000,7.031,7.203,6.859,7.182,4226513.0,2022-09-01
1662076800000,7.184,7.568,7.118,7.301,6655059.0,2022-09-02
