ts,open,high,low,close,volume,date
1658966400000,1636.06,1785.98,1590.0,1724.79,6233038.3,2022-07-28
1659052800000,1724.79,1766.56,1657.0,1721.86,5300822.5,2022-07-29
1659139200000,1721.86,1744.28,1673.0,1697.5,3227595.9,2022-07-30
1659225600000,1697.82,1755.0,1666.29,1678.75,2927811.8,2022-07-31
1659312000000,1678.81,1705.0,1606.0,1630.01,3594778.2,2022-08-01
1659398400000,1629.94,1678.0,1557.0,1630.99,5145679.6,2022-08-02
1659484800000,1631.12,1685.0,1589.8,1618.53,3581986.5,2022-08-03
1659571200000,1618.52,1663.0,1580.7,1607.38,3576426.2,2022-08-04
1659657600000,1607.49,1742.83,1604.94,1736.57,4611520.4,2022-08-05
1659744000000,1736.58,1749.9,1685.42,1690.32,2283637.3,2022-08-06
1659830400000,1690.32,1730.69,1668.0,1700.21,2069632.9,2022-08-07
1659916800000,1700.21,1820.72,1693.8,1776.6,3891504.2,2022-08-08
1660003200000,1776.6,1791.77,1668.1,1703.36,3753765.5,2022-08-09
1660089600000,1703.07,1888.0,1656.25,1853.75,4962697.9,2022-08-10
1660176000000,1853.74,1945.0,1850.22,1880.16,4574899.5,2022-08-11
1660262400000,1880.19,1965.14,1852.0,1958.17,3330623.9,2022-08-12
1660348800000,1958.17,2020.77,1946.0,1983.48,3389624.4,2022-08-13
1660435200000,1983.48,2031.54,1905.39,1935.46,3093729.5,2022-08-14
1660521600000,1935.39,2013.37,1873.0,1899.15,4709393.8,2022-08-15
1660608000000,1899.38,1915.0,1852.0,1877.13,3536907.0,2022-08-16
1660694400000,1877.13,1958.22,1819.09,1834.24,5029113.8,2022-08-17
1660780800000,1834.45,1882.0,1821.3,1846.4,3005987.5,2022-08-18
1660867200000,1846.26,1848.27,1603.0,1608.67,6018422.8,2022-08-19
1660953600000,1608.67,1656.88,1522.7,1575.73,4254212.2,2022-08-20
1661040000000,1575.73,1648.0,1562.27,1617.93,3949014.4,2022-08-21
1661126400000,1618.0,1629.13,1530.1,1624.86,5037258.4,2022-08-22
1661212800000,1624.85,1678.5,1563.33,1664.69,4688644.2,2022-08-23
1661299200000,1664.68,1693.9,1605.0,1656.15,4071663.3,2022-08-24
1661385600000,1656.16,1722.0,1653.92,1695.29,3343516.9,2022-08-25
1661472000000,1695.29,1706.59,1485.52,1507.3,6958728.7,2022-08-26
1661558400000,1507.3,1517.92,1445.26,1490.92,4300434.9,2022-08-27
1661644800000,1490.91,1512.28,1423.22,1426.67,3274042.1,2022-08-28
1661731200000,1426.47,1559.86,1421.34,1551.2,4811674.0,2022-08-29
1661817600000,1551.22,1608.65,1473.0,1524.15,6451298.7,2022-08-30
1661904000000,1524.15,1620.04,1523.84,1553.61,5986508.1,2022-08-31
1661990400000,1553.6,1600.0,1512.42,1585.86,5444863.4,2022-09-01
1662076800000,1585.86,1649.24,1545.6,1575.04,5499469.5,2022-09-02
1662163200000,1575.21,1582.54,1533.6,1557.36,2330291.3,2022-09-03
1662249600000,1557.37,1584.88,1540.08,1578.99,2370665.7,2022-09-04
1662336000000,1578.92,1633.04,1557.0,1617.57,3149529.7,2022-09-05
