ts,open,high,low,close,volume,date
1658966400000,5.651,6.064,5.55,5.928,12531165.7,2022-07-28
1659052800000,5.928,6.218,5.77,5.959,12820626.1,2022-07-29
1659139200000,5.959,8.9,5.957,8.034,61579032.1,2022-07-30
1659225600000,8.036,10.75,7.916,9.775,68882155.4,2022-07-31
1659312000000,9.776,11.38,8.332,8.784,68036691.1,2022-08-01
1659398400000,8.784,8.89,7.65,8.195,52596288.3,2022-08-02
1659484800000,8.197,8.768,7.916,8.088,29465555.5,2022-08-03
1659571200000,8.09,8.636,7.851,8.09,21966429.1,2022-08-04
1659657600000,8.09,8.423,8.048,8.341,13989594.2,2022-08-05
1659744000000,8.341,9.533,8.162,9.446,37900942.4,2022-08-06
1659830400000,9.447,9.453,8.644,8.79,18275631.6,2022-08-07
1659916800000,8.79,9.398,8.473,8.733,19643880.7,2022-08-08
1660003200000,8.727,8.842,7.805,8.042,18077334.6,2022-08-09
1660089600000,8.041,8.528,7.705,8.303,17371211.1,2022-08-10
1660176000000,8.302,9.015,8.226,8.346,17587500.6,2022-08-11
1660262400000,8.348,8.83,8.166,8.754,13671709.6,2022-08-12
1660348800000,8.754,8.884,8.23,8.37,10674831.4,2022-08-13
1660435200000,8.373,8.799,7.97,8.23,12492966.0,2022-08-14
1660521600000,8.231,8.59,8.007,8.424,11563414.2,2022-08-15
1660608000000,8.423,8.841,8.15,8.424,20060637.3,2022-08-16
1660694400000,8.425,8.915,7.941,8.193,18244938.6,2022-08-17
1660780800000,8.194,8.293,6.519,7.475,15404973.4,2022-08-18
1660867200000,7.477,7.573,6.32,6.458,26489376.8,2022-08-19
1660953600000,6.457,6.723,6.039,6.243,14457991.8,2022-08-20
1661040000000,6.244,6.583,6.214,6.414,9186291.9,2022-08-21
1661126400000,6.413,6.426,6.029,6.325,12665578.1,2022-08-22
1661212800000,6.328,6.444,6.115,6.385,9074390.6,2022-08-23
1661299200000,6.385,6.597,6.17,6.277,11415039.2,2022-08-24
1661385600000,6.276,6.492,6.247,6.356,8242474.1,2022-08-25
1661472000000,6.358,6.363,5.554,5.66,16792103.2,2022-08-26
1661558400000,5.66,5.873,5.585,5.832,8870952.8,2022-08-27
1661644800000,5.832,5.89,5.589,5.645,5708863.2,2022-08-28
1661731200000,5.644,6.056,5.517,6.013,7552572.6,2022-08-29
1661817600000,6.012,6.108,5.571,5.713,7397668.2,2022-08-30
1661904000000,5.714,5.891,5.675,5.745,6767971.9,2022-08-31
1661990400000,5.745,5.811,5.59,5.774,5927769.6,2022-09-01
1662076800000,5.775,5.989,5.686,5.824,7821289.5,2022-09-02
1662163200000,5.826,6.66,5.797,6.512,30898549.5,2022-09-03
1662249600000,6.51,6.656,6.133,6.264,11578015.2,2022-09-04
1662336000000,6.263,6.337,5.911,6.138,10203356.8,2022-09-05
1662422400000,6.14,6.303,5.516,5.598,15941073.8,2022-09-06
1662508800000,5.598,5.944,5.518,5.855,7235460.5,2022-09-07
1662595200000,5.855,5.955,5.7,5.86,7732814.7,2022-09-08
1662681600000,5.86,6.492,5.851,6.38,16782990.0,2022-09-09
1662768000000,6.381,6.561,6.2,6.353,10230815.7,2022-09-10
1662854400000,6.353,6.99,6.14,6.411,16968882.1,2022-09-11
1662940800000,6.41,6.8,6.322,6.55,18938563.5,2022-09-12
1663027200000,6.55,6.555,5.804,5.864,17005795.2,2022-09-13
1663113600000,5.864,6.02,5.741,5.954,8064204.3,2022-09-14
1663200000000,5.954,5.975,5.635,5.724,8126475.2,2022-09-15
1663286400000,5.725,5.859,5.644,5.826,6135131.5,2022-09-16
1663372800000,5.826,5.957,5.79,5.914,4752040.8,2022-09-17
1663459200000,5.914,5.92,5.0,5.256,10880581.9,2022-09-18
1663545600000,5.254,5.519,5.131,5.475,8834915.5,2022-09-19
1663632000000,5.476,5.515,5.266,5.313,5854656.0,2022-09-20
1663718400000,5.313,5.619,5.093,5.245,12522258.6,2022-09-21
1663804800000,5.244,5.571,5.23,5.522,9044179.4,2022-09-22
1663891200000,5.522,5.832,5.319,5.695,10530533.4,2022-09-23
1663977600000,5.696,5.802,5.504,5.573,7065836.5,2022-09-24
1664064000000,5.572,5.9,5.508,5.717,8355798.1,2022-09-25
1664150400000,5.717,5.806,5.513,5.692,9187720.0,2022-09-26
1664236800000,5.693,6.16,5.593,5.728,14768993.0,2022-09-27
1664323200000,5.727,6.063,5.544,5.855,10000379.3,2022-09-28
1664409600000,5.856,5.951,5.665,5.779,7707384.4,2022-09-29
1664496000000,5.779,5.84,5.613,5.687,8359850.8,2022-09-30
1664582400000,5.688,5.7,5.46,5.519,4846059.9,2022-10-01
1664668800000,5.519,5.572,5.338,5.381,6372237.0,2022-10-02
1664755200000,5.38,5.55,5.278,5.52,5213248.3,2022-10-03
1664841600000,5.52,5.654,5.487,5.604,5569659.3,2022-10-04
1664928000000,5.605,5.657,5.43,5.587,5521140.6,2022-10-05
1665014400000,5.588,5.652,5.459,5.487,4987095.8,2022-10-06
1665100800000,5.486,5.533,5.376,5.472,4560268.4,2022-10-07
1665187200000,5.472,5.505,5.348,5.395,2516841.3,2022-10-08
1665273600000,5.397,5.484,5.377,5.429,2697542.0,2022-10-09
1665360000000,5.43,5.483,5.076,5.151,6560354.7,2022-10-10
1665446400000,5.152,5.232,4.966,5.137,7255189.1,2022-10-11
1665532800000,5.138,5.224,5.103,5.147,4021398.8,2022-10-12
1665619200000,5.146,5.182,4.721,5.14,15930877.1,2022-10-13
1665705600000,5.14,5.331,4.992,5.067,7351148.5,2022-10-14
1665792000000,5.066,5.288,4.969,5.194,8885169.0,2022-10-15
1665878400000,5.195,5.284,5.093,5.158,5737061.9,2022-10-16
1665964800000,5.158,5.278,5.089,5.257,5724437.9,2022-10-17
1666051200000,5.258,5.283,5.048,5.13,6625904.1,2022-10-18
1666137600000,5.131,5.147,4.901,4.98,5655448.8,2022-10-19
1666224000000,4.98,5.093,4.9,4.942,6196875.4,2022-10-20
1666310400000,4.943,4.992,4.801,4.958,6868143.6,2022-10-21
1666396800000,4.958,5.0,4.901,4.959,3591752.8,2022-10-22
1666483200000,4.959,5.169,4.941,5.12,7888720.1,2022-10-23
1666569600000,5.12,5.15,4.906,4.947,6343945.1,2022-10-24
1666656000000,4.947,5.318,4.908,5.177,10105198.1,2022-10-25
1666742400000,5.178,5.363,5.175,5.256,9535319.4,2022-10-26
1666828800000,5.256,5.506,5.205,5.232,12334212.9,2022-10-27
1666915200000,5.232,5.477,5.109,5.366,10343787.7,2022-10-28
1667001600000,5.364,5.906,5.337,5.713,21892695.3,2022-10-29
1667088000000,5.712,5.757,5.27,5.389,14092499.7,2022-10-30
1667174400000,5.39,5.518,5.297,5.427,9162002.2,2022-10-31
1667260800000,5.427,5.505,5.328,5.365,8610686.4,2022-11-01
1667347200000,5.366,5.436,5.09,5.225,11875716.8,2022-11-02
1667433600000,5.227,6.244,5.214,5.785,39807775.1,2022-11-03
