ts,open,high,low,close,volume,date
1658966400000,6.858,7.299,6.676,7.215,4867195.0,2022-07-28
1659052800000,7.218,8.12,7.109,7.886,11535416.0,2022-07-29
1659139200000,7.886,8.213,7.671,7.825,7058752.0,2022-07-30
1659225600000,7.824,8.094,7.572,7.65,5221087.0,2022-07-31
1659312000000,7.65,7.882,7.408,7.57,3801156.0,2022-08-01
1659398400000,7.569,7.67,7.018,7.173,4892319.0,2022-08-02
1659484800000,7.18,7.639,7.046,7.283,3470149.0,2022-08-03
1659571200000,7.283,7.544,7.173,7.363,2852191.0,2022-08-04
1659657600000,7.363,7.903,7.349,7.88,3493875.0,2022-08-05
1659744000000,7.881,8.118,7.731,7.797,2411715.0,2022-08-06
1659830400000,7.793,8.379,7.654,8.347,3459970.0,2022-08-07
1659916800000,8.345,8.787,8.225,8.607,8920054.0,2022-08-08
1660003200000,8.609,8.957,8.267,8.743,8272295.0,2022-08-09
1660089600000,8.741,9.303,8.296,9.059,8403805.0,2022-08-10
1660176000000,9.06,9.231,8.826,8.962,5118198.0,2022-08-11
1660262400000,8.968,9.522,8.796,9.327,7347436.0,2022-08-12
1660348800000,9.33,9.49,9.051,9.15,3492081.0,2022-08-13
1660435200000,9.151,9.372,8.675,8.769,3747270.0,2022-08-14
1660521600000,8.77,9.061,8.491,8.647,5017973.0,2022-08-15
1660608000000,8.646,8.827,8.372,8.451,3347943.0,2022-08-16
1660694400000,8.45,8.747,7.988,8.061,4006712.0,2022-08-17
1660780800000,8.063,8.242,7.608,7.649,3934374.0,2022-08-18
1660867200000,7.653,7.698,6.816,6.899,7224764.0,2022-08-19
1660953600000,6.898,7.211,6.664,6.897,4544785.0,2022-08-20
1661040000000,6.897,7.172,6.875,7.079,2761116.0,2022-08-21
1661126400000,7.079,7.085,6.675,7.043,3285462.0,2022-08-22
1661212800000,7.044,7.355,6.765,7.241,2956365.0,2022-08-23
1661299200000,7.241,7.377,7.014,7.122,2455560.0,2022-08-24
1661385600000,7.122,7.378,7.004,7.13,2525926.0,2022-08-25
1661472000000,7.125,7.197,6.397,6.503,5557415.0,2022-08-26
1661558400000,6.501,6.612,6.411,6.531,3369195.0,2022-08-27
1661644800000,6.532,6.633,6.222,6.253,3243259.0,2022-08-28
1661731200000,6.255,6.735,6.189,6.701,3304683.0,2022-08-29
1661817600000,6.699,6.83,6.364,6.558,3297002.0,2022-08-30
1661904000000,6.559,6.897,6.541,6.624,3663230.0,2022-08-31
1661990400000,6.623,6.962,6.444,6.923,3900747.0,2022-09-01
1662076800000,6.924,7.243,6.785,6.929,4582310.0,2022-09-02
1662163200000,6.928,6.97,6.719,6.859,1576276.0,2022-09-03
1662249600000,6.86,7.279,6.787,7.157,4008622.0,2022-09-04
1662336000000,7.158,7.425,7.093,7.377,4443297.0,2022-09-05
1662422400000,7.378,7.549,6.571,6.657,5317209.0,2022-09-06
1662508800000,6.656,7.154,6.574,7.088,3384298.0,2022-09-07
1662595200000,7.089,7.507,7.003,7.408,4173546.0,2022-09-08
1662681600000,7.407,8.102,7.389,7.743,6703606.0,2022-09-09
1662768000000,7.745,8.031,7.615,7.902,4275403.0,2022-09-10
1662854400000,7.905,8.186,7.73,8.028,5000752.0,2022-09-11
1662940800000,8.03,8.309,7.606,7.759,6353070.0,2022-09-12
1663027200000,7.758,7.96,7.005,7.026,5055921.0,2022-09-13
