ts,open,high,low,close,volume,date
1658966400000,4.15,4.46,4.035,4.368,10272510.0,2022-07-28
1659052800000,4.369,4.588,4.182,4.367,9698720.0,2022-07-29
1659139200000,4.368,4.691,4.292,4.359,9597410.0,2022-07-30
1659225600000,4.36,4.59,4.209,4.229,7171390.0,2022-07-31
1659312000000,4.229,4.373,4.118,4.272,6113100.0,2022-08-01
1659398400000,4.27,4.459,4.034,4.311,8683490.0,2022-08-02
1659484800000,4.311,4.663,4.155,4.514,7940460.0,2022-08-03
1659571200000,4.513,4.751,4.317,4.422,8843090.0,2022-08-04
1659657600000,4.419,5.29,4.395,5.198,15739270.0,2022-08-05
1659744000000,5.199,5.202,4.86,4.903,7758710.0,2022-08-06
1659830400000,4.901,5.188,4.801,4.983,9178640.0,2022-08-07
1659916800000,4.98,5.738,4.977,5.491,11839920.0,2022-08-08
1660003200000,5.489,5.613,5.159,5.364,8637980.0,2022-08-09
1660089600000,5.365,6.077,5.178,5.906,17345150.0,2022-08-10
1660176000000,5.907,5.969,5.707,5.762,9248200.0,2022-08-11
1660262400000,5.763,6.079,5.627,5.97,9300630.0,2022-08-12
1660348800000,5.972,6.114,5.824,5.886,5762660.0,2022-08-13
1660435200000,5.887,5.937,5.516,5.617,5046600.0,2022-08-14
1660521600000,5.619,5.822,5.293,5.397,5582980.0,2022-08-15
1660608000000,5.398,5.52,5.232,5.269,5168450.0,2022-08-16
1660694400000,5.265,5.514,4.925,4.99,6837960.0,2022-08-17
1660780800000,4.99,5.203,4.814,4.853,5659860.0,2022-08-18
1660867200000,4.855,4.938,4.193,4.25,12018590.0,2022-08-19
1660953600000,4.251,4.444,4.015,4.149,8098370.0,2022-08-20
1661040000000,4.149,4.308,4.083,4.231,4902110.0,2022-08-21
1661126400000,4.23,4.235,3.926,4.12,5911460.0,2022-08-22
1661212800000,4.12,4.421,4.004,4.306,7629340.0,2022-08-23
1661299200000,4.308,4.403,4.143,4.268,5719790.0,2022-08-24
1661385600000,4.268,4.448,4.201,4.316,5321830.0,2022-08-25
1661472000000,4.316,4.439,3.888,3.935,13271240.0,2022-08-26
1661558400000,3.935,3.979,3.824,3.917,6500340.0,2022-08-27
1661644800000,3.915,3.945,3.738,3.765,5863920.0,2022-08-28
1661731200000,3.765,4.058,3.691,4.034,6945450.0,2022-08-29
1661817600000,4.034,4.287,3.956,4.199,9820430.0,2022-08-30
1661904000000,4.2,4.586,4.19,4.372,14244710.0,2022-08-31
1661990400000,4.372,4.43,4.186,4.346,7755210.0,2022-09-01
1662076800000,4.348,4.391,4.113,4.177,7305160.0,2022-09-02
1662163200000,4.177,4.217,4.119,4.173,2817610.0,2022-09-03
1662249600000,4.173,4.25,4.086,4.241,3897030.0,2022-09-04
1662336000000,4.241,4.286,4.114,4.233,4255870.0,2022-09-05
1662422400000,4.235,4.541,3.963,4.074,13451940.0,2022-09-06
1662508800000,4.074,4.43,4.033,4.382,8176230.0,2022-09-07
1662595200000,4.38,4.716,4.379,4.691,12273500.0,2022-09-08
1662681600000,4.689,4.904,4.617,4.815,8741060.0,2022-09-09
1662768000000,4.814,4.912,4.653,4.814,7923630.0,2022-09-10
1662854400000,4.815,5.046,4.626,4.895,8317130.0,2022-09-11
1662940800000,4.897,5.278,4.71,5.091,16293880.0,2022-09-12
1663027200000,5.091,5.096,4.401,4.418,14228610.0,2022-09-13
1663113600000,4.416,4.547,4.337,4.507,6591940.0,2022-09-14
1663200000000,4.507,4.517,4.13,4.183,7102290.0,2022-09-15
1663286400000,4.184,4.251,4.09,4.207,5307790.0,2022-09-16
1663372800000,4.207,4.392,4.205,4.379,3739430.0,2022-09-17
1663459200000,4.379,4.411,3.805,3.913,7049570.0,2022-09-18
1663545600000,3.915,4.081,3.802,4.054,7633020.0,2022-09-19
1663632000000,4.054,4.09,3.796,3.822,6465400.0,2022-09-20
1663718400000,3.822,4.035,3.545,3.64,12529810.0,2022-09-21
1663804800000,3.639,3.899,3.62,3.866,5706770.0,2022-09-22
1663891200000,3.866,3.952,3.617,3.791,7790830.0,2022-09-23
1663977600000,3.792,3.874,3.663,3.696,5051630.0,2022-09-24
1664064000000,3.696,3.769,3.608,3.65,4310720.0,2022-09-25
1664150400000,3.646,3.732,3.556,3.687,5813390.0,2022-09-26
1664236800000,3.687,3.822,3.551,3.617,6575120.0,2022-09-27
1664323200000,3.617,3.644,3.445,3.579,5251250.0,2022-09-28
1664409600000,3.58,3.609,3.505,3.587,3948030.0,2022-09-29
1664496000000,3.588,3.644,3.512,3.56,4642420.0,2022-09-30
1664582400000,3.559,3.595,3.524,3.556,2249670.0,2022-10-01
1664668800000,3.556,3.619,3.463,3.48,3751280.0,2022-10-02
1664755200000,3.481,3.564,3.407,3.542,4657000.0,2022-10-03
1664841600000,3.541,3.655,3.527,3.622,3540240.0,2022-10-04
1664928000000,3.622,3.728,3.545,3.697,6361210.0,2022-10-05
1665014400000,3.696,3.763,3.582,3.623,4553030.0,2022-10-06
1665100800000,3.621,3.627,3.514,3.553,3480420.0,2022-10-07
1665187200000,3.553,3.578,3.462,3.494,2190630.0,2022-10-08
1665273600000,3.494,3.533,3.484,3.517,1253520.0,2022-10-09
1665360000000,3.517,3.55,3.216,3.217,3922300.0,2022-10-10
1665446400000,3.217,3.24,3.077,3.174,5965560.0,2022-10-11
1665532800000,3.175,3.214,3.122,3.154,2103280.0,2022-10-12
1665619200000,3.153,3.159,2.756,3.041,16100920.0,2022-10-13
1665705600000,3.039,3.181,2.952,3.005,5753920.0,2022-10-14
1665792000000,3.005,3.018,2.916,2.923,2559640.0,2022-10-15
1665878400000,2.924,3.038,2.921,3.001,2306870.0,2022-10-16
1665964800000,3.001,3.073,2.961,3.06,2650340.0,2022-10-17
1666051200000,3.061,3.098,2.894,2.967,9055840.0,2022-10-18
1666137600000,2.964,2.975,2.795,2.826,8141400.0,2022-10-19
1666224000000,2.826,2.944,2.783,2.87,5532090.0,2022-10-20
1666310400000,2.87,2.918,2.725,2.888,6573470.0,2022-10-21
1666396800000,2.888,2.948,2.825,2.92,4503850.0,2022-10-22
1666483200000,2.921,3.001,2.846,2.983,6294440.0,2022-10-23
1666569600000,2.983,3.015,2.875,2.918,6550500.0,2022-10-24
1666656000000,2.918,3.092,2.888,3.0,11396630.0,2022-10-25
1666742400000,3.0,3.113,2.997,3.055,9881950.0,2022-10-26
1666828800000,3.055,3.175,2.942,2.963,9045670.0,2022-10-27
1666915200000,2.964,3.065,2.891,3.023,8228020.0,2022-10-28
1667001600000,3.022,3.171,3.021,3.089,10168170.0,2022-10-29
1667088000000,3.089,3.236,3.053,3.101,9378200.0,2022-10-30
1667174400000,3.101,3.189,3.041,3.104,7726470.0,2022-10-31
1667260800000,3.105,3.165,3.006,3.013,7206570.0,2022-11-01
1667347200000,3.013,3.03,2.823,2.9,13740250.0,2022-11-02
1667433600000,2.9,3.126,2.883,3.029,10713100.0,2022-11-03
1667520000000,3.03,3.311,3.008,3.311,15285400.0,2022-11-04
1667606400000,3.31,3.444,3.256,3.332,13726310.0,2022-11-05
1667692800000,3.333,3.364,3.073,3.095,8851860.0,2022-11-06
1667779200000,3.094,3.145,2.966,3.05,7528310.0,2022-11-07
1667865600000,3.051,3.073,2.359,2.63,31504910.0,2022-11-08
1667952000000,2.63,2.66,1.96,2.027,27610740.0,2022-11-09
1668038400000,2.026,2.379,1.988,2.314,11615800.0,2022-11-10
1668124800000,2.313,2.324,2.039,2.132,10229270.0,2022-11-11
1668211200000,2.133,2.138,1.951,2.001,7224680.0,2022-11-12
1668297600000,2.0,2.079,1.89,1.953,7669710.0,2022-11-13
1668384000000,1.953,2.023,1.799,1.97,8758730.0,2022-11-14
1668470400000,1.969,2.047,1.93,1.981,4467830.0,2022-11-15
1668556800000,1.98,2.018,1.891,1.923,4466400.0,2022-11-16
1668643200000,1.924,1.938,1.816,1.832,5753860.0,2022-11-17
1668729600000,1.832,1.87,1.739,1.784,5444710.0,2022-11-18
1668816000000,1.784,1.79,1.702,1.749,6249650.0,2022-11-19
1668902400000,1.749,1.762,1.552,1.57,10388740.0,2022-11-20
1668988800000,1.57,1.582,1.431,1.56,16375630.0,2022-11-21
1669075200000,1.56,1.647,1.492,1.627,14233120.0,2022-11-22
1669161600000,1.627,1.7,1.58,1.692,11730970.0,2022-11-23
1669248000000,1.69,1.734,1.624,1.645,9363180.0,2022-11-24
1669334400000,1.645,1.657,1.595,1.647,5907410.0,2022-11-25
1669420800000,1.646,1.702,1.586,1.611,6241400.0,2022-11-26
1669507200000,1.611,1.678,1.598,1.615,5489660.0,2022-11-27
1669593600000,1.615,1.625,1.482,1.591,8287160.0,2022-11-28
1669680000000,1.591,1.638,1.563,1.607,6219670.0,2022-11-29
1669766400000,1.607,1.748,1.606,1.722,10204790.0,2022-11-30
1669852800000,1.723,1.77,1.687,1.741,9470060.0,2022-12-01
1669939200000,1.741,1.799,1.711,1.756,9432690.0,2022-12-02
1670025600000,1.755,1.756,1.662,1.669,5128840.0,2022-12-03
1670112000000,1.669,1.74,1.667,1.724,4542970.0,2022-12-04
1670198400000,1.724,1.779,1.682,1.718,6379150.0,2022-12-05
1670284800000,1.718,1.79,1.715,1.79,7056840.0,2022-12-06
1670371200000,1.79,1.829,1.666,1.69,11749630.0,2022-12-07
1670457600000,1.69,1.714,1.638,1.706,8792240.0,2022-12-08
1670544000000,1.706,1.737,1.68,1.698,5419980.0,2022-12-09
1670630400000,1.697,1.73,1.685,1.705,3341470.0,2022-12-10
1670716800000,1.706,1.712,1.62,1.634,5344320.0,2022-12-11
1670803200000,1.634,1.642,1.563,1.63,8649830.0,2022-12-12
1670889600000,1.631,1.766,1.556,1.709,14928370.0,2022-12-13
1670976000000,1.709,1.735,1.649,1.659,11160740.0,2022-12-14
1671062400000,1.66,1.669,1.584,1.591,7549010.0,2022-12-15
1671148800000,1.592,1.609,1.343,1.368,13540360.0,2022-12-16
1671235200000,1.368,1.403,1.341,1.394,10790270.0,2022-12-17
1671321600000,1.394,1.397,1.34,1.364,2434110.0,2022-12-18
1671408000000,1.364,1.385,1.226,1.259,13696600.0,2022-12-19
1671494400000,1.259,1.351,1.253,1.342,9242860.0,2022-12-20
1671580800000,1.342,1.355,1.277,1.306,9526720.0,2022-12-21
1671667200000,1.306,1.325,1.27,1.323,9088730.0,2022-12-22
1671753600000,1.323,1.366,1.315,1.342,8722330.0,2022-12-23
1671840000000,1.342,1.352,1.325,1.337,4461330.0,2022-12-24
1671926400000,1.337,1.341,1.298,1.332,5819850.0,2022-12-25
1672012800000,1.332,1.364,1.329,1.362,6627660.0,2022-12-26
1672099200000,1.362,1.377,1.33,1.363,8037270.0,2022-12-27
1672185600000,1.363,1.364,1.292,1.315,12488350.0,2022-12-28
1672272000000,1.315,1.332,1.263,1.297,9763890.0,2022-12-29
1672358400000,1.296,1.304,1.236,1.277,10764470.0,2022-12-30
1672444800000,1.277,1.285,1.245,1.254,5503840.0,2022-12-31
1672531200000,1.255,1.284,1.237,1.275,5422590.0,2023-01-01
1672617600000,1.275,1.325,1.256,1.313,7843610.0,2023-01-02
1672704000000,1.314,1.361,1.304,1.335,8481120.0,2023-01-03
1672790400000,1.335,1.611,1.329,1.551,39453640.0,2023-01-04
1672876800000,1.551,1.651,1.504,1.525,25154370.0,2023-01-05
1672963200000,1.525,1.616,1.48,1.59,18612610.0,2023-01-06
1673049600000,1.591,1.602,1.541,1.561,10828370.0,2023-01-07
1673136000000,1.561,1.66,1.513,1.648,14340070.0,2023-01-08
1673222400000,1.647,1.726,1.622,1.641,26743570.0,2023-01-09
1673308800000,1.641,1.668,1.592,1.644,14089680.0,2023-01-10
1673395200000,1.644,1.838,1.553,1.82,24599340.0,2023-01-11
1673481600000,1.822,1.885,1.709,1.831,36855130.0,2023-01-12
1673568000000,1.83,2.006,1.778,1.957,21197130.0,2023-01-13
1673654400000,1.958,2.355,1.946,2.252,57716130.0,2023-01-14
1673740800000,2.251,2.275,2.106,2.241,19778480.0,2023-01-15
1673827200000,2.242,2.44,2.065,2.192,28760010.0,2023-01-16
1673913600000,2.193,2.264,2.143,2.155,18049800.0,2023-01-17
1674000000000,2.155,2.231,1.951,1.972,19759660.0,2023-01-18
1674086400000,1.973,2.157,1.97,2.096,13742340.0,2023-01-19
1674172800000,2.096,2.408,2.048,2.39,15554710.0,2023-01-20
1674259200000,2.39,2.475,2.298,2.322,27054500.0,2023-01-21
1674345600000,2.323,2.595,2.318,2.399,23864940.0,2023-01-22
1674432000000,2.398,2.707,2.393,2.543,24385390.0,2023-01-23
1674518400000,2.543,2.622,2.305,2.355,13235600.0,2023-01-24
1674604800000,2.355,2.634,2.278,2.543,14712540.0,2023-01-25
1674691200000,2.545,2.719,2.495,2.521,17454620.0,2023-01-26
1674777600000,2.522,2.588,2.371,2.56,16419820.0,2023-01-27
1674864000000,2.56,2.683,2.434,2.47,14885160.0,2023-01-28
1674950400000,2.469,2.607,2.432,2.573,10988070.0,2023-01-29
1675036800000,2.572,2.585,2.216,2.305,15576510.0,2023-01-30
1675123200000,2.305,2.377,2.273,2.328,11874150.0,2023-01-31
1675209600000,2.327,2.434,2.164,2.427,17310560.0,2023-02-01
1675296000000,2.429,2.576,2.406,2.444,16156590.0,2023-02-02
1675382400000,2.445,2.519,2.401,2.508,11890510.0,2023-02-03
1675468800000,2.509,2.581,2.424,2.502,8858160.0,2023-02-04
1675555200000,2.501,2.556,2.328,2.387,12537070.0,2023-02-05
1675641600000,2.388,2.428,2.279,2.307,8480970.0,2023-02-06
1675728000000,2.307,2.512,2.301,2.493,10222210.0,2023-02-07
1675814400000,2.494,2.845,2.473,2.641,39485400.0,2023-02-08
1675900800000,2.64,2.643,2.195,2.267,26676560.0,2023-02-09
1675987200000,2.267,2.304,2.195,2.247,11689080.0,2023-02-10
1676073600000,2.248,2.295,2.202,2.285,4645980.0,2023-02-11
1676160000000,2.285,2.374,2.192,2.238,9344820.0,2023-02-12
1676246400000,2.238,2.252,2.087,2.186,12095340.0,2023-02-13
1676332800000,2.186,2.261,2.11,2.247,12004350.0,2023-02-14
1676419200000,2.248,2.528,2.204,2.515,14013070.0,2023-02-15
1676505600000,2.516,2.557,2.301,2.309,15575370.0,2023-02-16
1676592000000,2.311,2.485,2.297,2.456,11455290.0,2023-02-17
1676678400000,2.456,2.698,2.455,2.576,14709820.0,2023-02-18
1676764800000,2.576,2.695,2.509,2.575,16199140.0,2023-02-19
1676851200000,2.576,2.764,2.481,2.703,17446720.0,2023-02-20
1676937600000,2.703,2.716,2.487,2.568,12790180.0,2023-02-21
1677024000000,2.569,2.573,2.393,2.507,10860740.0,2023-02-22
1677110400000,2.507,2.565,2.415,2.469,6634720.0,2023-02-23
1677196800000,2.47,2.49,2.253,2.313,9430410.0,2023-02-24
1677283200000,2.313,2.336,2.191,2.288,6304640.0,2023-02-25
1677369600000,2.287,2.385,2.27,2.378,3404350.0,2023-02-26
1677456000000,2.376,2.424,2.286,2.347,5274510.0,2023-02-27
1677542400000,2.347,2.355,2.213,2.23,5509900.0,2023-02-28
1677628800000,2.23,2.368,2.204,2.319,5326950.0,2023-03-01
1677715200000,2.32,2.331,2.204,2.26,3811490.0,2023-03-02
1677801600000,2.26,2.26,2.024,2.098,9928550.0,2023-03-03
1677888000000,2.099,2.117,1.977,2.052,5570700.0,2023-03-04
1677974400000,2.052,2.116,2.016,2.029,4550500.0,2023-03-05
1678060800000,2.028,2.077,1.983,2.053,5641090.0,2023-03-06
1678147200000,2.055,2.093,1.941,2.001,7551200.0,2023-03-07
1678233600000,2.001,2.014,1.813,1.84,8792980.0,2023-03-08
1678320000000,1.84,1.914,1.723,1.789,11005700.0,2023-03-09
1678406400000,1.789,1.812,1.669,1.795,13182010.0,2023-03-10
1678492800000,1.796,1.858,1.69,1.797,12563780.0,2023-03-11
1678579200000,1.797,1.961,1.764,1.941,9104800.0,2023-03-12
1678665600000,1.941,2.046,1.891,2.037,11810010.0,2023-03-13
1678752000000,2.037,2.212,1.974,2.117,12806260.0,2023-03-14
1678838400000,2.115,2.157,1.865,1.922,10188410.0,2023-03-15
1678924800000,1.921,1.979,1.89,1.962,6938020.0,2023-03-16
1679011200000,1.962,2.165,1.935,2.164,5744470.0,2023-03-17
1679097600000,2.164,2.215,2.061,2.08,7012330.0,2023-03-18
1679184000000,2.08,2.195,2.077,2.129,7091260.0,2023-03-19
1679270400000,2.133,2.169,1.966,1.991,8279870.0,2023-03-20
1679356800000,1.993,2.082,1.922,2.068,7401820.0,2023-03-21
1679443200000,2.068,2.078,1.873,1.947,9376600.0,2023-03-22
1679529600000,1.947,2.074,1.919,2.046,7024660.0,2023-03-23
1679616000000,2.046,2.052,1.927,1.965,7515990.0,2023-03-24
1679702400000,1.964,1.998,1.891,1.924,4379010.0,2023-03-25
1679788800000,1.923,1.983,1.913,1.96,3505850.0,2023-03-26
1679875200000,1.959,1.966,1.812,1.843,5964410.0,2023-03-27
1679961600000,1.842,1.905,1.808,1.882,4991770.0,2023-03-28
1680048000000,1.882,2.005,1.877,1.998,4434870.0,2023-03-29
1680134400000,1.998,2.039,1.901,1.926,5363230.0,2023-03-30
1680220800000,1.925,2.01,1.885,1.99,4160250.0,2023-03-31
1680307200000,1.99,2.009,1.957,1.987,3131310.0,2023-04-01
1680393600000,1.987,2.01,1.886,1.919,4891570.0,2023-04-02
1680480000000,1.919,2.021,1.854,1.949,8528010.0,2023-04-03
1680566400000,1.949,2.011,1.916,1.996,4079300.0,2023-04-04
1680652800000,1.997,2.082,1.983,2.028,5499260.0,2023-04-05
1680739200000,2.029,2.031,1.941,1.989,4242060.0,2023-04-06
1680825600000,1.988,2.029,1.951,2.016,4477400.0,2023-04-07
1680912000000,2.016,2.02,1.952,1.971,2753990.0,2023-04-08
1680998400000,1.97,2.039,1.929,2.005,4183240.0,2023-04-09
1681084800000,2.006,2.07,1.966,2.067,4689560.0,2023-04-10
1681171200000,2.067,2.106,2.037,2.051,6434500.0,2023-04-11
1681257600000,2.051,2.243,1.968,2.226,20608050.0,2023-04-12
1681344000000,2.226,2.228,2.156,2.202,9571900.0,2023-04-13
1681430400000,2.202,2.277,2.151,2.219,11691380.0,2023-04-14
1681516800000,2.22,2.408,2.175,2.317,15032570.0,2023-04-15
1681603200000,2.318,2.356,2.263,2.323,6514620.0,2023-04-16
1681689600000,2.323,2.336,2.236,2.288,8325440.0,2023-04-17
1681776000000,2.288,2.402,2.237,2.346,8953250.0,2023-04-18
1681862400000,2.346,2.403,2.081,2.149,13227790.0,2023-04-19
1681948800000,2.149,2.197,2.019,2.044,9164570.0,2023-04-20
1682035200000,2.045,2.066,1.882,1.927,8363270.0,2023-04-21
1682121600000,1.925,1.95,1.895,1.945,3717580.0,2023-04-22
1682208000000,1.945,1.95,1.841,1.912,5057640.0,2023-04-23
1682294400000,1.911,1.943,1.848,1.885,4918040.0,2023-04-24
1682380800000,1.885,1.988,1.84,1.96,6368360.0,2023-04-25
1682467200000,1.961,2.03,1.779,1.89,10682650.0,2023-04-26
1682553600000,1.889,1.956,1.874,1.922,6686090.0,2023-04-27
1682640000000,1.923,1.94,1.871,1.916,3365910.0,2023-04-28
1682726400000,1.916,1.96,1.91,1.937,2844390.0,2023-04-29
1682812800000,1.937,1.986,1.891,1.929,5084890.0,2023-04-30
1682899200000,1.928,1.954,1.798,1.837,5966890.0,2023-05-01
1682985600000,1.836,1.854,1.809,1.834,3302640.0,2023-05-02
1683072000000,1.835,1.929,1.779,1.899,4886470.0,2023-05-03
1683158400000,1.899,1.902,1.825,1.843,3269130.0,2023-05-04
1683244800000,1.843,1.89,1.805,1.867,5038920.0,2023-05-05
1683331200000,1.867,1.881,1.739,1.766,6129360.0,2023-05-06
1683417600000,1.767,1.786,1.727,1.736,2825280.0,2023-05-07
1683504000000,1.735,1.747,1.563,1.642,11043120.0,2023-05-08
1683590400000,1.641,1.652,1.604,1.623,3639710.0,2023-05-09
1683676800000,1.623,1.686,1.549,1.66,10142090.0,2023-05-10
1683763200000,1.661,1.661,1.553,1.596,6633340.0,2023-05-11
1683849600000,1.596,1.656,1.54,1.648,7645780.0,2023-05-12
1683936000000,1.648,1.673,1.615,1.66,3357700.0,2023-05-13
1684022400000,1.66,1.678,1.639,1.656,2856230.0,2023-05-14
1684108800000,1.655,1.706,1.633,1.657,6089230.0,2023-05-15
1684195200000,1.656,1.67,1.626,1.657,4989280.0,2023-05-16
1684281600000,1.657,1.719,1.639,1.697,4351070.0,2023-05-17
1684368000000,1.699,1.702,1.621,1.656,2871400.0,2023-05-18
1684454400000,1.656,1.693,1.65,1.663,2655110.0,2023-05-19
1684540800000,1.663,1.668,1.649,1.661,2058060.0,2023-05-20
1684627200000,1.661,1.667,1.607,1.61,2848060.0,2023-05-21
1684713600000,1.61,1.627,1.572,1.612,3843460.0,2023-05-22
1684800000000,1.612,1.677,1.599,1.644,3623230.0,2023-05-23
1684886400000,1.644,1.646,1.547,1.571,5844550.0,2023-05-24
1684972800000,1.571,1.584,1.528,1.563,5281590.0,2023-05-25
1685059200000,1.563,1.598,1.53,1.577,3840930.0,2023-05-26
1685145600000,1.578,1.655,1.572,1.629,2764460.0,2023-05-27
1685232000000,1.629,1.687,1.624,1.666,4128900.0,2023-05-28
1685318400000,1.665,1.678,1.616,1.627,3642290.0,2023-05-29
1685404800000,1.627,1.647,1.601,1.609,3493200.0,2023-05-30
1685491200000,1.608,1.62,1.545,1.567,5766530.0,2023-05-31
1685577600000,1.566,1.575,1.53,1.546,5317660.0,2023-06-01
1685664000000,1.547,1.629,1.533,1.613,7440610.0,2023-06-02
1685750400000,1.613,1.64,1.595,1.617,3155720.0,2023-06-03
1685836800000,1.616,1.649,1.604,1.617,3432540.0,2023-06-04
1685923200000,1.617,1.659,1.435,1.497,14480020.0,2023-06-05
1686009600000,1.496,1.541,1.448,1.533,6685270.0,2023-06-06
1686096000000,1.533,1.533,1.399,1.414,8618770.0,2023-06-07
1686182400000,1.413,1.424,1.383,1.414,4977120.0,2023-06-08
1686268800000,1.413,1.433,1.368,1.386,4221040.0,2023-06-09
1686355200000,1.385,1.386,1.1,1.202,26618070.0,2023-06-10
1686441600000,1.202,1.238,1.185,1.208,8489150.0,2023-06-11
1686528000000,1.207,1.215,1.164,1.198,6585830.0,2023-06-12
1686614400000,1.198,1.246,1.185,1.199,5752950.0,2023-06-13
1686700800000,1.199,1.242,1.153,1.175,9344040.0,2023-06-14
1686787200000,1.175,1.226,1.16,1.196,7202630.0,2023-06-15
1686873600000,1.196,1.238,1.173,1.214,3801160.0,2023-06-16
1686960000000,1.214,1.279,1.204,1.259,5827400.0,2023-06-17
1687046400000,1.258,1.277,1.211,1.236,5301360.0,2023-06-18
1687132800000,1.236,1.243,1.194,1.24,3733350.0,2023-06-19
1687219200000,1.239,1.311,1.217,1.299,4344490.0,2023-06-20
1687305600000,1.298,1.359,1.292,1.338,7772870.0,2023-06-21
1687392000000,1.339,1.38,1.308,1.324,7182730.0,2023-06-22
1687478400000,1.325,1.409,1.319,1.383,4266690.0,2023-06-23
1687564800000,1.383,1.459,1.376,1.411,6971810.0,2023-06-24
1687651200000,1.412,1.463,1.39,1.399,5832680.0,2023-06-25
1687737600000,1.399,1.64,1.352,1.486,59601120.0,2023-06-26
1687824000000,1.486,1.506,1.446,1.477,14345580.0,2023-06-27
1687910400000,1.477,1.48,1.321,1.362,13494580.0,2023-06-28
1687996800000,1.362,1.395,1.337,1.349,7997050.0,2023-06-29
1688083200000,1.35,1.4453,1.27,1.385,21863300.0,2023-06-30
1688169600000,1.3858,1.4862,1.3529,1.4839,17765270.0,2023-07-01
1688256000000,1.484,1.4884,1.4265,1.467,15520160.0,2023-07-02
1688342400000,1.4672,1.4868,1.4279,1.4565,11438090.0,2023-07-03
1688428800000,1.4573,1.4575,1.3808,1.3981,8726540.0,2023-07-04
1688515200000,1.398,1.4161,1.333,1.354,9309920.0,2023-07-05
1688601600000,1.3537,1.3935,1.284,1.3109,10586480.0,2023-07-06
1688688000000,1.3108,1.3694,1.2945,1.3314,12334050.0,2023-07-07
1688774400000,1.3318,1.3993,1.3267,1.3827,17441550.0,2023-07-08
1688860800000,1.3826,1.3932,1.3175,1.3263,12620880.0,2023-07-09
1688947200000,1.3262,1.3606,1.2855,1.3307,11321480.0,2023-07-10
1689033600000,1.3305,1.3538,1.3047,1.3299,9286380.0,2023-07-11
1689120000000,1.3299,1.3713,1.3057,1.3294,9717230.0,2023-07-12
1689206400000,1.3292,1.469,1.314,1.4641,12611700.0,2023-07-13
1689292800000,1.4646,1.5958,1.447,1.4978,33658360.0,2023-07-14
1689379200000,1.4978,1.527,1.4595,1.4914,8504900.0,2023-07-15
1689465600000,1.4916,1.5111,1.4362,1.4457,7053430.0,2023-07-16
1689552000000,1.4458,1.5074,1.423,1.5006,10233740.0,2023-07-17
1689638400000,1.5004,1.5146,1.4403,1.4706,7440410.0,2023-07-18
1689724800000,1.4699,1.5198,1.4563,1.4658,6881500.0,2023-07-19
1689811200000,1.4657,1.606,1.4569,1.5293,18083410.0,2023-07-20
1689897600000,1.529,1.533,1.4729,1.4806,6314140.0,2023-07-21
1689984000000,1.4801,1.4901,1.4235,1.4435,5870690.0,2023-07-22
1690070400000,1.4436,1.4783,1.4322,1.4543,4168000.0,2023-07-23
1690156800000,1.4542,1.4644,1.3447,1.38,9995070.0,2023-07-24
1690243200000,1.3801,1.3826,1.3009,1.3482,12655850.0,2023-07-25
1690329600000,1.348,1.38,1.3168,1.3642,9810720.0,2023-07-26
1690416000000,1.3641,1.3896,1.3489,1.3785,6580360.0,2023-07-27
1690502400000,1.3785,1.4053,1.3692,1.3896,5212260.0,2023-07-28
