ts,open,high,low,close,volume,date
1754006400000,0.9185,0.9269,0.8658,0.889,64427980.0,2025-08-01
1754092800000,0.8891,0.9086,0.8434,0.8746,45065300.0,2025-08-02
1754179200000,0.8747,0.9266,0.8582,0.9205,28602600.0,2025-08-03
1754265600000,0.9206,0.9574,0.9166,0.9497,40861940.0,2025-08-04
1754352000000,0.9496,0.9503,0.9017,0.9192,68263600.0,2025-08-05
1754438400000,0.9193,0.9457,0.8987,0.9409,36005090.0,2025-08-06
1754524800000,0.9408,1.011,0.931,1.0092,58206390.0,2025-08-07
1754611200000,1.0093,1.0316,0.9986,1.0205,47638230.0,2025-08-08
1754697600000,1.0206,1.0576,1.0146,1.0373,37041460.0,2025-08-09
1754784000000,1.0374,1.0561,0.9976,1.0257,44606060.0,2025-08-10
1754870400000,1.0255,1.0557,0.9754,0.9835,57592900.0,2025-08-11
1754956800000,0.9834,1.069,0.9683,1.0605,55912150.0,2025-08-12
1755043200000,1.0604,1.09,1.0452,1.077,55976860.0,2025-08-13
1755129600000,1.0771,1.1112,0.9774,1.001,116727590.0,2025-08-14
1755216000000,1.001,1.0288,0.9595,0.9898,52605400.0,2025-08-15
1755302400000,0.9897,1.0088,0.9763,1.0005,29027980.0,2025-08-16
1755388800000,1.0005,1.0416,0.9948,1.0077,29682840.0,2025-08-17
1755475200000,1.0075,1.0093,0.9407,0.9601,47081740.0,2025-08-18
1755561600000,0.9602,0.9741,0.906,0.91,40317770.0,2025-08-19
1755648000000,0.91,0.9526,0.9029,0.9458,36536660.0,2025-08-20
1755734400000,0.9458,0.9545,0.9107,0.9164,28114610.0,2025-08-21
1755820800000,0.9164,1.0182,0.8902,1.0112,67875930.0,2025-08-22
1755907200000,1.0113,1.022,0.977,1.0022,39452520.0,2025-08-23
1755993600000,1.0022,1.0288,0.9577,0.9721,57519750.0,2025-08-24
1756080000000,0.9722,0.9886,0.876,0.8916,61693280.0,2025-08-25
