ts,open,high,low,close,volume,date
1683072000000,1.06e-06,1.1857e-06,8.226e-07,1.0603e-06,134396890000000.0,2023-05-03
1683158400000,1.0606e-06,2.0361e-06,1.0552e-06,1.9577e-06,443198940000000.0,2023-05-04
1683244800000,1.9579e-06,4.4811e-06,1.8255e-06,3.7713e-06,898030280000000.0,2023-05-05
1683331200000,3.7713e-06,3.8241e-06,2.3e-06,2.6203e-06,566065940000000.0,2023-05-06
1683417600000,2.6217e-06,3.09e-06,2.4124e-06,2.7952e-06,392977370000000.0,2023-05-07
1683504000000,2.7954e-06,2.8e-06,1.53e-06,1.9465e-06,662093320000000.0,2023-05-08
1683590400000,1.9459e-06,2.1379e-06,1.7331e-06,2.0054e-06,540683380000000.0,2023-05-09
1683676800000,2.0051e-06,2.1333e-06,1.7119e-06,1.9185e-06,416583350000000.0,2023-05-10
1683763200000,1.9185e-06,1.9391e-06,1.25e-06,1.3925e-06,643838610000000.0,2023-05-11
1683849600000,1.3926e-06,1.9055e-06,1.05e-06,1.7433e-06,1292234390000000.0,2023-05-12
1683936000000,1.7432e-06,2.0925e-06,1.5428e-06,1.8612e-06,1130558020000000.0,2023-05-13
1684022400000,1.8612e-06,1.9492e-06,1.7234e-06,1.7869e-06,585691080000000.0,2023-05-14
1684108800000,1.7873e-06,1.7873e-06,1.6043e-06,1.7317e-06,528387000000000.0,2023-05-15
1684195200000,1.7316e-06,1.823e-06,1.6267e-06,1.6655e-06,420998330000000.0,2023-05-16
1684281600000,1.6651e-06,1.6896e-06,1.4608e-06,1.5736e-06,516992480000000.0,2023-05-17
1684368000000,1.574e-06,1.6385e-06,1.4912e-06,1.5794e-06,405690900000000.0,2023-05-18
1684454400000,1.5799e-06,1.5799e-06,1.4739e-06,1.5235e-06,275248640000000.0,2023-05-19
1684540800000,1.5235e-06,1.9325e-06,1.5e-06,1.7154e-06,458060340000000.0,2023-05-20
1684627200000,1.7155e-06,1.7618e-06,1.5629e-06,1.5966e-06,362966000000000.0,2023-05-21
1684713600000,1.5967e-06,1.6e-06,1.5071e-06,1.5308e-06,257227970000000.0,2023-05-22
1684800000000,1.5309e-06,1.6744e-06,1.5165e-06,1.5928e-06,265826130000000.0,2023-05-23
1684886400000,1.5928e-06,1.5959e-06,1.3076e-06,1.4345e-06,416899600000000.0,2023-05-24
1684972800000,1.4343e-06,1.475e-06,1.3444e-06,1.429e-06,285320630000000.0,2023-05-25
1685059200000,1.4288e-06,1.491e-06,1.3811e-06,1.4519e-06,251864140000000.0,2023-05-26
1685145600000,1.452e-06,1.538e-06,1.4344e-06,1.5123e-06,181066550000000.0,2023-05-27
1685232000000,1.5123e-06,1.545e-06,1.4073e-06,1.494e-06,179783240000000.0,2023-05-28
1685318400000,1.4945e-06,1.5168e-06,1.4103e-06,1.436e-06,129836700000000.0,2023-05-29
1685404800000,1.4361e-06,1.4418e-06,1.2289e-06,1.2933e-06,181397740000000.0,2023-05-30
1685491200000,1.2934e-06,1.3239e-06,1.19e-06,1.2639e-06,245530630000000.0,2023-05-31
1685577600000,1.2638e-06,1.3281e-06,1.215e-06,1.2455e-06,242195810000000.0,2023-06-01
1685664000000,1.2458e-06,1.305e-06,1.23e-06,1.2816e-06,121040580000000.0,2023-06-02
1685750400000,1.2819e-06,1.346e-06,1.2638e-06,1.2946e-06,147166100000000.0,2023-06-03
1685836800000,1.2946e-06,1.2968e-06,1.2078e-06,1.2384e-06,115447980000000.0,2023-06-04
1685923200000,1.2383e-06,1.2452e-06,9.3e-07,1.0324e-06,325860340000000.0,2023-06-05
1686009600000,1.0328e-06,1.2649e-06,9.65e-07,1.2058e-06,446968350000000.0,2023-06-06
1686096000000,1.2058e-06,1.2184e-06,1.0326e-06,1.0727e-06,372222920000000.0,2023-06-07
1686182400000,1.0727e-06,1.1335e-06,1.0312e-06,1.0834e-06,225100100000000.0,2023-06-08
1686268800000,1.0834e-06,1.1969e-06,1.0526e-06,1.1337e-06,331093760000000.0,2023-06-09
1686355200000,1.1337e-06,1.1376e-06,8.008e-07,9.296e-07,482392190000000.0,2023-06-10
1686441600000,9.297e-07,9.524e-07,8.809e-07,9.12e-07,207116110000000.0,2023-06-11
1686528000000,9.123e-07,9.532e-07,8.402e-07,9.046e-07,272335670000000.0,2023-06-12
1686614400000,9.046e-07,9.856e-07,8.87e-07,9.174e-07,296546610000000.0,2023-06-13
1686700800000,9.175e-07,9.661e-07,8.578e-07,8.855e-07,235105240000000.0,2023-06-14
1686787200000,8.854e-07,9.303e-07,8.237e-07,8.973e-07,220812040000000.0,2023-06-15
1686873600000,8.972e-07,1.051e-06,8.702e-07,9.66e-07,455576290000000.0,2023-06-16
1686960000000,9.661e-07,1.0561e-06,9.485e-07,1.0006e-06,305134890000000.0,2023-06-17
1687046400000,1.0008e-06,1.0059e-06,9.219e-07,9.375e-07,195718680000000.0,2023-06-18
1687132800000,9.375e-07,9.58e-07,9.1e-07,9.49e-07,181641250000000.0,2023-06-19
1687219200000,9.49e-07,1.0938e-06,9.031e-07,1.0699e-06,236592660000000.0,2023-06-20
1687305600000,1.0697e-06,1.4657e-06,1.035e-06,1.3806e-06,727991330000000.0,2023-06-21
1687392000000,1.3807e-06,1.6984e-06,1.3618e-06,1.5436e-06,986799280000000.0,2023-06-22
1687478400000,1.5438e-06,1.7859e-06,1.452e-06,1.6522e-06,646716160000000.0,2023-06-23
1687564800000,1.6521e-06,1.7552e-06,1.488e-06,1.5549e-06,425742530000000.0,2023-06-24
1687651200000,1.5548e-06,1.6777e-06,1.5213e-06,1.6039e-06,311426570000000.0,2023-06-25
1687737600000,1.6047e-06,1.6336e-06,1.4712e-06,1.5089e-06,266848460000000.0,2023-06-26
1687824000000,1.509e-06,1.67e-06,1.4901e-06,1.619e-06,252868660000000.0,2023-06-27
1687910400000,1.6191e-06,1.6205e-06,1.3569e-06,1.4216e-06,229911150000000.0,2023-06-28
1687996800000,1.4214e-06,1.6328e-06,1.4045e-06,1.5417e-06,266283960000000.0,2023-06-29
1688083200000,1.5416e-06,1.7098e-06,1.4401e-06,1.6221e-06,406028550000000.0,2023-06-30
1688169600000,1.6218e-06,1.6362e-06,1.5122e-06,1.5554e-06,118900410000000.0,2023-07-01
1688256000000,1.5555e-06,1.6163e-06,1.4835e-06,1.5846e-06,106358280000000.0,2023-07-02
1688342400000,1.5848e-06,1.9e-06,1.5576e-06,1.8347e-06,317793520000000.0,2023-07-03
1688428800000,1.8346e-06,1.8878e-06,1.684e-06,1.7129e-06,190974440000000.0,2023-07-04
1688515200000,1.7125e-06,1.7699e-06,1.6e-06,1.652e-06,150001080000000.0,2023-07-05
1688601600000,1.6515e-06,1.7839e-06,1.5319e-06,1.5402e-06,228220030000000.0,2023-07-06
1688688000000,1.5401e-06,1.5999e-06,1.506e-06,1.5646e-06,150544270000000.0,2023-07-07
1688774400000,1.5646e-06,1.5995e-06,1.51e-06,1.5524e-06,75257950000000.0,2023-07-08
1688860800000,1.5522e-06,1.59e-06,1.5257e-06,1.5438e-06,72379550000000.0,2023-07-09
1688947200000,1.5439e-06,1.5872e-06,1.4304e-06,1.5147e-06,169234950000000.0,2023-07-10
1689033600000,1.5148e-06,1.5395e-06,1.482e-06,1.5011e-06,87936540000000.0,2023-07-11
1689120000000,1.5009e-06,1.5699e-06,1.4825e-06,1.5068e-06,107187450000000.0,2023-07-12
1689206400000,1.507e-06,1.7693e-06,1.461e-06,1.7141e-06,208847690000000.0,2023-07-13
1689292800000,1.7133e-06,1.8881e-06,1.5468e-06,1.6389e-06,310996400000000.0,2023-07-14
1689379200000,1.6386e-06,1.7085e-06,1.6112e-06,1.6442e-06,105844960000000.0,2023-07-15
1689465600000,1.6444e-06,1.666e-06,1.555e-06,1.5728e-06,73731300000000.0,2023-07-16
1689552000000,1.5723e-06,1.605e-06,1.505e-06,1.5753e-06,113207350000000.0,2023-07-17
1689638400000,1.5752e-06,1.5975e-06,1.4802e-06,1.5149e-06,87330570000000.0,2023-07-18
1689724800000,1.5153e-06,1.5771e-06,1.5068e-06,1.5247e-06,80216610000000.0,2023-07-19
1689811200000,1.5248e-06,1.5786e-06,1.4616e-06,1.5037e-06,71696310000000.0,2023-07-20
1689897600000,1.5037e-06,1.5484e-06,1.4857e-06,1.5219e-06,60532360000000.0,2023-07-21
1689984000000,1.5223e-06,1.5494e-06,1.4733e-06,1.4907e-06,41585840000000.0,2023-07-22
1690070400000,1.4908e-06,1.536e-06,1.4641e-06,1.5045e-06,49594710000000.0,2023-07-23
1690156800000,1.5047e-06,1.51e-06,1.2819e-06,1.3461e-06,119243870000000.0,2023-07-24
1690243200000,1.346e-06,1.3566e-06,1.2834e-06,1.3057e-06,78669220000000.0,2023-07-25
1690329600000,1.3057e-06,1.3871e-06,1.2208e-06,1.332e-06,148887370000000.0,2023-07-26
1690416000000,1.332e-06,1.4444e-06,1.3106e-06,1.3427e-06,135811880000000.0,2023-07-27
1690502400000,1.3424e-06,1.3762e-06,1.2929e-06,1.3359e-06,87165930000000.0,2023-07-28
1690588800000,1.3359e-06,1.3556e-06,1.3223e-06,1.3469e-06,35831130000000.0,2023-07-29
1690675200000,1.347e-06,1.3497e-06,1.243e-06,1.2952e-06,61422010000000.0,2023-07-30
1690761600000,1.2952e-06,1.3227e-06,1.2018e-06,1.2375e-06,78020600000000.0,2023-07-31
1690848000000,1.2375e-06,1.3092e-06,1.1758e-06,1.3017e-06,116493020000000.0,2023-08-01
1690934400000,1.302e-06,1.32e-06,1.2e-06,1.2188e-06,121161380000000.0,2023-08-02
1691020800000,1.2188e-06,1.2336e-06,1.19e-06,1.1978e-06,66766390000000.0,2023-08-03
1691107200000,1.1984e-06,1.2249e-06,1.1102e-06,1.1546e-06,77752210000000.0,2023-08-04
1691193600000,1.1545e-06,1.1739e-06,1.1243e-06,1.1533e-06,62440870000000.0,2023-08-05
1691280000000,1.1535e-06,1.178e-06,1.1252e-06,1.1563e-06,50219520000000.0,2023-08-06
1691366400000,1.1566e-06,1.1976e-06,1.0547e-06,1.1163e-06,112034920000000.0,2023-08-07
1691452800000,1.1163e-06,1.2308e-06,1.098e-06,1.1748e-06,144763740000000.0,2023-08-08
1691539200000,1.1749e-06,1.2866e-06,1.172e-06,1.2309e-06,215656990000000.0,2023-08-09
1691625600000,1.2309e-06,1.2697e-06,1.2131e-06,1.2327e-06,101318310000000.0,2023-08-10
1691712000000,1.2328e-06,1.2709e-06,1.2164e-06,1.246e-06,70141870000000.0,2023-08-11
1691798400000,1.246e-06,1.368e-06,1.2443e-06,1.3521e-06,150011940000000.0,2023-08-12
