ts,open,high,low,close,volume,date
1658966400000,40.23,44.19,39.05,42.93,5907825.0,2022-07-28
1659052800000,42.94,44.5,41.15,41.94,5079222.0,2022-07-29
1659139200000,41.91,46.68,41.4,43.86,5537882.0,2022-07-30
1659225600000,43.86,45.23,42.22,42.35,3196110.0,2022-07-31
1659312000000,42.34,43.27,40.56,41.65,3027778.0,2022-08-01
1659398400000,41.65,42.45,39.45,39.77,3683541.0,2022-08-02
1659484800000,39.76,41.04,37.41,38.56,7938574.0,2022-08-03
1659571200000,38.56,39.85,37.94,38.83,3919756.0,2022-08-04
1659657600000,38.83,41.34,38.69,40.58,3540889.0,2022-08-05
1659744000000,40.58,40.92,39.84,40.06,1668430.0,2022-08-06
1659830400000,40.04,41.58,39.19,40.61,1705048.0,2022-08-07
1659916800000,40.61,43.75,40.55,42.19,3602359.0,2022-08-08
1660003200000,42.18,42.77,39.7,40.34,2657232.0,2022-08-09
1660089600000,40.33,42.91,39.13,42.48,4414670.0,2022-08-10
1660176000000,42.48,45.34,42.35,42.77,5048353.0,2022-08-11
1660262400000,42.77,45.53,42.12,45.5,3289386.0,2022-08-12
1660348800000,45.5,48.38,45.28,46.6,5205994.0,2022-08-13
1660435200000,46.61,48.07,44.45,44.87,3318010.0,2022-08-14
1660521600000,44.88,47.27,42.72,43.71,3923989.0,2022-08-15
1660608000000,43.71,44.34,42.53,43.1,3086553.0,2022-08-16
1660694400000,43.1,44.75,40.12,40.53,4411989.0,2022-08-17
1660780800000,40.54,41.66,39.28,39.52,3219698.0,2022-08-18
1660867200000,39.5,39.58,34.99,35.8,8338899.0,2022-08-19
1660953600000,35.81,37.27,34.16,35.27,4420510.0,2022-08-20
1661040000000,35.27,37.05,34.47,36.47,3777548.0,2022-08-21
1661126400000,36.46,36.55,33.73,35.41,3910526.0,2022-08-22
1661212800000,35.41,36.12,34.24,35.68,2597953.0,2022-08-23
1661299200000,35.69,36.44,34.28,34.88,3088609.0,2022-08-24
1661385600000,34.87,36.5,34.86,35.26,2592450.0,2022-08-25
1661472000000,35.25,35.8,31.32,31.7,5523157.0,2022-08-26
1661558400000,31.69,32.24,30.85,31.52,3073670.0,2022-08-27
1661644800000,31.53,32.2,30.17,30.43,2286313.0,2022-08-28
1661731200000,30.41,32.65,29.94,32.43,3721997.0,2022-08-29
1661817600000,32.42,33.16,30.61,31.49,3022905.0,2022-08-30
1661904000000,31.49,32.97,31.17,31.5,2559979.0,2022-08-31
1661990400000,31.48,31.79,30.43,31.62,2219735.0,2022-09-01
1662076800000,31.61,32.39,30.75,31.24,2007212.0,2022-09-02
