ts,open,high,low,close,volume,date
1658966400000,0.06871,0.07048,0.06747,0.06969,476372000.0,2022-07-28
1659052800000,0.06968,0.07213,0.06813,0.06922,547663000.0,2022-07-29
1659139200000,0.06922,0.07136,0.06891,0.06908,385944000.0,2022-07-30
1659225600000,0.0691,0.07086,0.0686,0.06886,275977000.0,2022-07-31
1659312000000,0.06883,0.07162,0.06827,0.06988,372992000.0,2022-08-01
1659398400000,0.06986,0.07052,0.06774,0.06826,385475000.0,2022-08-02
1659484800000,0.06827,0.06929,0.06717,0.06781,268952000.0,2022-08-03
1659571200000,0.06782,0.06966,0.06758,0.06889,380506000.0,2022-08-04
1659657600000,0.06888,0.07015,0.06805,0.0699,258238000.0,2022-08-05
1659744000000,0.06989,0.07063,0.06915,0.06943,195492000.0,2022-08-06
1659830400000,0.06941,0.07035,0.06906,0.06958,175630000.0,2022-08-07
1659916800000,0.06959,0.07109,0.06951,0.07009,204481000.0,2022-08-08
1660003200000,0.07009,0.07103,0.06819,0.0684,271392000.0,2022-08-09
1660089600000,0.06839,0.07045,0.0678,0.07038,254809000.0,2022-08-10
1660176000000,0.07036,0.07118,0.06994,0.07034,199190000.0,2022-08-11
1660262400000,0.07035,0.07077,0.06927,0.07045,284709000.0,2022-08-12
1660348800000,0.07045,0.07127,0.06956,0.06994,249632000.0,2022-08-13
1660435200000,0.06997,0.07242,0.06944,0.07034,419951000.0,2022-08-14
1660521600000,0.07035,0.0712,0.06815,0.06888,344429000.0,2022-08-15
1660608000000,0.06888,0.0705,0.06831,0.06971,266190000.0,2022-08-16
1660694400000,0.06972,0.07096,0.06729,0.06827,383510000.0,2022-08-17
1660780800000,0.06832,0.06866,0.06722,0.0674,198023000.0,2022-08-18
1660867200000,0.06741,0.06741,0.06385,0.06402,444059000.0,2022-08-19
1660953600000,0.06402,0.0659,0.0639,0.06578,239598000.0,2022-08-20
1661040000000,0.06577,0.06641,0.06454,0.06586,202694000.0,2022-08-21
1661126400000,0.06587,0.06626,0.06451,0.06565,239873000.0,2022-08-22
1661212800000,0.06565,0.06681,0.0648,0.06629,342230000.0,2022-08-23
1661299200000,0.06634,0.06643,0.06467,0.06477,329402000.0,2022-08-24
1661385600000,0.06477,0.06579,0.06463,0.06547,198574000.0,2022-08-25
1661472000000,0.06546,0.06565,0.06133,0.06151,510054000.0,2022-08-26
1661558400000,0.06152,0.06304,0.06106,0.06288,344465000.0,2022-08-27
1661644800000,0.06288,0.06316,0.06132,0.06138,192118000.0,2022-08-28
1661731200000,0.06141,0.06348,0.06088,0.06338,222582000.0,2022-08-29
1661817600000,0.06338,0.06711,0.06285,0.06473,593551000.0,2022-08-30
1661904000000,0.06473,0.06576,0.06313,0.06336,252283000.0,2022-08-31
1661990400000,0.06335,0.06371,0.06205,0.06331,229917000.0,2022-09-01
1662076800000,0.06331,0.06376,0.06226,0.06256,191095000.0,2022-09-02
1662163200000,0.06256,0.0632,0.06235,0.06308,102678000.0,2022-09-03
1662249600000,0.0631,0.06367,0.06248,0.0635,153733000.0,2022-09-04
1662336000000,0.06351,0.06367,0.06242,0.0629,190256000.0,2022-09-05
1662422400000,0.06293,0.06405,0.0604,0.06067,309849000.0,2022-09-06
1662508800000,0.06065,0.06192,0.06,0.06179,175688000.0,2022-09-07
1662595200000,0.06179,0.06192,0.06002,0.06124,260565000.0,2022-09-08
1662681600000,0.06124,0.06378,0.06109,0.06343,237655000.0,2022-09-09
1662768000000,0.06342,0.06478,0.06294,0.06475,196855000.0,2022-09-10
1662854400000,0.06477,0.06499,0.06345,0.06418,149159000.0,2022-09-11
1662940800000,0.06418,0.0648,0.06304,0.06381,231904000.0,2022-09-12
1663027200000,0.06382,0.06397,0.06058,0.06064,273466000.0,2022-09-13
1663113600000,0.06063,0.06172,0.06048,0.06164,165317000.0,2022-09-14
1663200000000,0.06164,0.06198,0.0605,0.06124,216031000.0,2022-09-15
1663286400000,0.06124,0.06164,0.06052,0.06133,206864000.0,2022-09-16
1663372800000,0.06133,0.06238,0.06131,0.06228,137067000.0,2022-09-17
1663459200000,0.06227,0.06265,0.06072,0.06075,166907000.0,2022-09-18
1663545600000,0.06075,0.06122,0.0592,0.06024,288045000.0,2022-09-19
1663632000000,0.06028,0.06069,0.05937,0.05978,152320000.0,2022-09-20
1663718400000,0.05978,0.06181,0.0586,0.059,263880000.0,2022-09-21
1663804800000,0.059,0.0605,0.05866,0.06022,191461000.0,2022-09-22
1663891200000,0.06022,0.06119,0.05917,0.06045,218936000.0,2022-09-23
1663977600000,0.06046,0.06101,0.05951,0.0598,149704000.0,2022-09-24
1664064000000,0.05979,0.06029,0.0594,0.05969,99271000.0,2022-09-25
1664150400000,0.05969,0.05993,0.05893,0.05958,148452000.0,2022-09-26
1664236800000,0.0596,0.06089,0.05896,0.05937,209942000.0,2022-09-27
1664323200000,0.05938,0.05993,0.05835,0.05952,179840000.0,2022-09-28
1664409600000,0.05952,0.06209,0.05931,0.06098,268538000.0,2022-09-29
1664496000000,0.06099,0.06234,0.06021,0.06101,232156000.0,2022-09-30
1664582400000,0.06102,0.0615,0.06006,0.0605,123407000.0,2022-10-01
1664668800000,0.0605,0.062,0.06036,0.06094,249096000.0,2022-10-02
1664755200000,0.06093,0.06151,0.06066,0.06139,144964000.0,2022-10-03
1664841600000,0.06138,0.0625,0.06103,0.06236,131952000.0,2022-10-04
1664928000000,0.06236,0.06277,0.0619,0.06243,139724000.0,2022-10-05
1665014400000,0.06243,0.06323,0.0619,0.06279,156511000.0,2022-10-06
1665100800000,0.06279,0.06332,0.06199,0.06248,137836000.0,2022-10-07
1665187200000,0.06248,0.06276,0.06173,0.06203,104268000.0,2022-10-08
1665273600000,0.06206,0.06279,0.06193,0.06239,82266000.0,2022-10-09
1665360000000,0.06239,0.06534,0.06226,0.06272,581019000.0,2022-10-10
1665446400000,0.06272,0.06272,0.06115,0.06167,192159000.0,2022-10-11
1665532800000,0.06167,0.0645,0.06113,0.06173,419202000.0,2022-10-12
1665619200000,0.06171,0.06231,0.05913,0.06098,389450000.0,2022-10-13
1665705600000,0.06098,0.06591,0.06072,0.06397,637340000.0,2022-10-14
1665792000000,0.06393,0.06517,0.06171,0.06175,380868000.0,2022-10-15
1665878400000,0.06176,0.06206,0.06117,0.06186,196740000.0,2022-10-16
1665964800000,0.06184,0.06308,0.06159,0.06266,268700000.0,2022-10-17
1666051200000,0.06267,0.06302,0.06165,0.0622,303174000.0,2022-10-18
1666137600000,0.06222,0.06322,0.06163,0.06174,446011000.0,2022-10-19
1666224000000,0.06174,0.06269,0.06141,0.06216,135881000.0,2022-10-20
1666310400000,0.06215,0.06297,0.06058,0.06168,204809000.0,2022-10-21
1666396800000,0.06169,0.062,0.06112,0.06158,93822000.0,2022-10-22
1666483200000,0.0616,0.06203,0.06105,0.06188,104607000.0,2022-10-23
1666569600000,0.06187,0.06203,0.06122,0.06132,130048000.0,2022-10-24
1666656000000,0.06132,0.06293,0.06114,0.06234,188026000.0,2022-10-25
1666742400000,0.06234,0.06378,0.06226,0.06343,174347000.0,2022-10-26
1666828800000,0.06341,0.0642,0.06259,0.06296,208786000.0,2022-10-27
1666915200000,0.06296,0.0638,0.06256,0.06355,125527000.0,2022-10-28
1667001600000,0.06355,0.06459,0.06347,0.06429,189165000.0,2022-10-29
1667088000000,0.0643,0.06483,0.06289,0.06309,169900000.0,2022-10-30
1667174400000,0.0631,0.0634,0.06228,0.06323,179808000.0,2022-10-31
1667260800000,0.06324,0.06343,0.0625,0.06278,104957000.0,2022-11-01
1667347200000,0.06275,0.06313,0.06137,0.06157,192172000.0,2022-11-02
1667433600000,0.06156,0.06246,0.06142,0.06173,151579000.0,2022-11-03
1667520000000,0.06172,0.06383,0.06151,0.06381,175534000.0,2022-11-04
1667606400000,0.06381,0.06479,0.06314,0.06362,181073000.0,2022-11-05
1667692800000,0.06362,0.06538,0.06255,0.06269,283065000.0,2022-11-06
1667779200000,0.06269,0.06301,0.06176,0.06227,160532000.0,2022-11-07
1667865600000,0.06227,0.06314,0.05575,0.0587,596328000.0,2022-11-08
1667952000000,0.05873,0.06576,0.05276,0.05341,1496826000.0,2022-11-09
1668038400000,0.05342,0.0625,0.05234,0.0578,1098351000.0,2022-11-10
1668124800000,0.05777,0.05828,0.05407,0.05608,386167000.0,2022-11-11
1668211200000,0.05606,0.05612,0.05287,0.05503,337643000.0,2022-11-12
1668297600000,0.05504,0.05634,0.05032,0.05085,702239000.0,2022-11-13
1668384000000,0.05087,0.05337,0.04457,0.05012,1611812000.0,2022-11-14
1668470400000,0.0501,0.05185,0.04927,0.05075,347863000.0,2022-11-15
