ts,open,high,low,close,volume,date
1658966400000,0.11272,0.11827,0.10959,0.11671,58116800.0,2022-07-28
1659052800000,0.11674,0.11973,0.11422,0.1177,55901000.0,2022-07-29
1659139200000,0.11773,0.1254,0.11607,0.11959,79555800.0,2022-07-30
1659225600000,0.11967,0.12286,0.11668,0.11759,47553800.0,2022-07-31
1659312000000,0.11753,0.12038,0.1167,0.11831,35789800.0,2022-08-01
1659398400000,0.11834,0.1205,0.11345,0.11499,43176300.0,2022-08-02
1659484800000,0.11505,0.1173,0.1129,0.11406,30618900.0,2022-08-03
1659571200000,0.11406,0.11647,0.11239,0.11393,32109600.0,2022-08-04
1659657600000,0.11394,0.11866,0.11365,0.11866,32113800.0,2022-08-05
1659744000000,0.11868,0.12308,0.11814,0.12186,28709200.0,2022-08-06
1659830400000,0.12185,0.12495,0.11971,0.12384,38095500.0,2022-08-07
1659916800000,0.12382,0.13847,0.12346,0.1301,130633600.0,2022-08-08
1660003200000,0.13012,0.13053,0.12051,0.12205,61378900.0,2022-08-09
1660089600000,0.12204,0.12598,0.11925,0.12595,42908400.0,2022-08-10
1660176000000,0.12591,0.1273,0.12401,0.12522,38187300.0,2022-08-11
1660262400000,0.12524,0.12662,0.12312,0.12637,23859600.0,2022-08-12
1660348800000,0.12638,0.12853,0.12575,0.12682,23135000.0,2022-08-13
1660435200000,0.12681,0.12977,0.12429,0.12561,31280600.0,2022-08-14
1660521600000,0.12568,0.12883,0.12165,0.12347,35623500.0,2022-08-15
1660608000000,0.12348,0.12439,0.12087,0.12174,32106900.0,2022-08-16
1660694400000,0.12173,0.12755,0.11935,0.12132,46347800.0,2022-08-17
1660780800000,0.1213,0.12182,0.11541,0.11581,32331600.0,2022-08-18
1660867200000,0.11576,0.11653,0.10658,0.10804,82952300.0,2022-08-19
1660953600000,0.10804,0.11047,0.10701,0.10897,39675400.0,2022-08-20
1661040000000,0.109,0.11231,0.10775,0.11097,32180100.0,2022-08-21
1661126400000,0.11099,0.11115,0.10608,0.1095,34761000.0,2022-08-22
1661212800000,0.10952,0.11136,0.10718,0.11068,36065100.0,2022-08-23
1661299200000,0.11064,0.11111,0.10823,0.10941,38032800.0,2022-08-24
1661385600000,0.10941,0.11103,0.10878,0.11037,34103800.0,2022-08-25
1661472000000,0.11036,0.11431,0.10244,0.10384,96234200.0,2022-08-26
1661558400000,0.10385,0.10586,0.10237,0.1055,43834000.0,2022-08-27
1661644800000,0.1055,0.10704,0.10184,0.10261,62117400.0,2022-08-28
1661731200000,0.10262,0.10603,0.1009,0.10589,52584400.0,2022-08-29
1661817600000,0.10587,0.10677,0.10036,0.10237,63474900.0,2022-08-30
1661904000000,0.10241,0.10567,0.10211,0.10433,37628700.0,2022-08-31
1661990400000,0.10435,0.10546,0.10181,0.10511,43897400.0,2022-09-01
1662076800000,0.10513,0.10632,0.1028,0.10462,40315100.0,2022-09-02
1662163200000,0.10462,0.1058,0.10374,0.10528,23769400.0,2022-09-03
1662249600000,0.10532,0.10898,0.10475,0.10641,34001300.0,2022-09-04
1662336000000,0.10649,0.10701,0.10343,0.10505,29738600.0,2022-09-05
1662422400000,0.10511,0.10753,0.09897,0.09967,62940000.0,2022-09-06
1662508800000,0.09969,0.10337,0.09825,0.10291,52063100.0,2022-09-07
1662595200000,0.10295,0.10464,0.10066,0.10434,39399900.0,2022-09-08
1662681600000,0.10432,0.11458,0.10412,0.11437,65212900.0,2022-09-09
1662768000000,0.11442,0.11622,0.11301,0.11471,48935500.0,2022-09-10
1662854400000,0.11468,0.11649,0.11276,0.11427,31324800.0,2022-09-11
1662940800000,0.11433,0.11653,0.11187,0.11381,41535500.0,2022-09-12
1663027200000,0.11378,0.11398,0.10426,0.10451,37515600.0,2022-09-13
1663113600000,0.10444,0.10581,0.10238,0.10517,45913800.0,2022-09-14
1663200000000,0.10518,0.10602,0.10129,0.10205,56113500.0,2022-09-15
1663286400000,0.10207,0.10757,0.10125,0.10715,39955200.0,2022-09-16
1663372800000,0.10714,0.11421,0.10575,0.11341,59388700.0,2022-09-17
1663459200000,0.11343,0.11584,0.10641,0.10698,119279000.0,2022-09-18
1663545600000,0.10697,0.11206,0.10339,0.11167,88411000.0,2022-09-19
1663632000000,0.11163,0.11958,0.1102,0.11725,135763100.0,2022-09-20
1663718400000,0.11724,0.11861,0.10898,0.11037,121996300.0,2022-09-21
1663804800000,0.11038,0.12493,0.11022,0.12299,115215200.0,2022-09-22
1663891200000,0.12297,0.13295,0.11668,0.12315,203769100.0,2022-09-23
1663977600000,0.12316,0.12723,0.11748,0.11803,89969600.0,2022-09-24
1664064000000,0.118,0.12344,0.1157,0.11729,74686500.0,2022-09-25
1664150400000,0.11729,0.11817,0.11243,0.11373,70427500.0,2022-09-26
1664236800000,0.11373,0.11706,0.10938,0.11015,79330700.0,2022-09-27
1664323200000,0.11015,0.1109,0.1066,0.10819,82744800.0,2022-09-28
1664409600000,0.1082,0.11986,0.10661,0.11548,120208700.0,2022-09-29
1664496000000,0.11546,0.11723,0.11285,0.11468,102041700.0,2022-09-30
