8888 통합 관제 대시보드: http://localhost:8888
[DISCORD BOT] Token not found in discord_bot_token.txt or env. Listener waiting for token.
[DISCORD] 19:27:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:27:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:28:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:28:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:29:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:29:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:30:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=1.0s
[DISCORD] 19:30:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 19:31:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:31:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:32:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:32:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:33:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:33:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:34:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:34:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.9s
[DISCORD] 19:35:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:35:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:36:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:36:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:37:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:37:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:38:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:38:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:39:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.6s
[DISCORD] 19:39:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.8s
[DISCORD] 19:40:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:40:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:41:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:41:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:42:18 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
[DISCORD] 19:42:48 ok=True Grp1(8403,5,7,9): status=204 | Grp2(8401,2,4,8): status=204 collect=0.0s post=0.7s
