시간,심볼,유형,방향,가격,수량,수익(USDT),수익률(%),청산유형,레버리지,주문ID,체결ID,수수료(USDT)
2026-07-20 02:15:01,BTC/USDT:USDT,청산,sell,64679.9,0.04,0.11644,2.2503126937425693,SL/TP,5,ID_3757388433127874560,2794422966,1.293598
2026-07-20 04:30:11,ETH/USDT:USDT,진입,buy,1859.66,0.16,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3757660561416888320,4105954533,0.1487728
2026-07-20 04:30:13,SOL/USDT:USDT,진입,buy,75.81,0.4,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3757660639028289536,1566344234,0.015162
2026-07-20 05:00:21,SUI/USDT:USDT,청산,buy,0.7499,41.0,-0.0246,-0.4000533404453927,SL/TP,5,ID_3757721309300105216,728800109,0.01537295
2026-07-20 08:00:16,ORDI/USDT:USDT,진입,buy,3.467,88.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758083524125499392,744622671,0.152548
2026-07-20 09:10:24,ETH/USDT:USDT,청산,sell,1878.39,0.16,0.29968,5.0358938509934665,SL/TP,5,ID_3758224700103172096,4106420297,0.1502712
2026-07-20 09:10:26,SOL/USDT:USDT,청산,sell,76.84,0.4,0.412,6.79329903706635,SL/TP,5,ID_3758224764997443584,1566458395,0.015368
2026-07-20 09:10:38,ORDI/USDT:USDT,청산,sell,3.508,16.0,0.0656,5.912892991058553,SL/TP,5,ID_3758225167147311104,744630315,0.028064
2026-07-20 09:10:38,ORDI/USDT:USDT,청산,sell,3.508,15.0,0.0615,5.912892991058551,SL/TP,5,ID_3758225167147311104,744630317,0.02631
2026-07-20 09:10:38,ORDI/USDT:USDT,청산,sell,3.508,1.0,0.0041,5.912892991058553,SL/TP,5,ID_3758225167147311104,744630316,0.001754
2026-07-20 09:10:38,ORDI/USDT:USDT,청산,sell,3.508,12.0,0.0492,5.912892991058552,SL/TP,5,ID_3758225167147311104,744630318,0.021048
2026-07-20 09:10:46,ORDI/USDT:USDT,청산,sell,3.518,22.0,0.1122,7.355062013267953,SL/TP,5,ID_3758225466956161024,744630419,0.038698
2026-07-20 09:30:16,TRUMP/USDT:USDT,진입,buy,1.571,34.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758264721816395776,432500662,0.026707
2026-07-20 09:30:16,TRUMP/USDT:USDT,진입,buy,1.571,170.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758264721816395776,432500663,0.133535
2026-07-20 09:40:03,ORDI/USDT:USDT,청산,sell,3.553,22.0,0.1891999999999999,12.402653591000863,SL/TP,5,ID_3758284409879371776,744634721|744634722,0.039083
2026-07-20 11:33:11,TRUMP/USDT:USDT,청산,sell,1.591,102.0,0.204,6.365372374283895,SL/TP,5,ID_3758512173270147072,432522145,0.008114
2026-07-20 11:33:16,TRUMP/USDT:USDT,청산,sell,1.591,51.0,0.102,6.365372374283895,SL/TP,5,ID_3758512353256120320,432522147,0.004057
2026-07-20 11:33:20,TRUMP/USDT:USDT,청산,sell,1.59,25.0,0.0475,6.0471037555697,SL/TP,5,ID_3758512462509350912,432522164,0.001988
2026-07-20 12:30:08,TRUMP/USDT:USDT,청산,sell,1.573,26.0,0.0052,0.6365372374283895,SL/TP,5,ID_3758626812624609280,432528694,0.002045
2026-07-20 13:30:08,TRX/USDT:USDT,진입,buy,0.32628,0.03,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758747622437789696,141705262,0.004894
2026-07-20 13:30:08,TRX/USDT:USDT,진입,buy,0.32628,0.04,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758747622437789696,141705263,0.006526
2026-07-20 13:30:08,TRX/USDT:USDT,진입,buy,0.32628,0.03,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3758747622437789696,141705264,0.004894
2026-07-20 14:13:06,TRX/USDT:USDT,청산,sell,0.32597,0.1,-0.031,-0.4722730042656917,SL/TP,5,ID_3758834137440428032,141705810,1.63e-05
2026-07-20 23:00:21,OKB/USDT:USDT,진입,sell,80.56,41.0,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3759895608744189952,103105713,0.016515
2026-07-21 00:23:25,OKB/USDT:USDT,청산,buy,80.86,41.0,-0.123,-1.8179614592170643,SL/TP,5,ID_3760062841952903168,103108848,1.65763
2026-07-21 16:30:08,LINK/USDT:USDT,진입,sell,8.691,0.1,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3762009125643329536,470430085,0.000435
2026-07-21 16:30:08,LINK/USDT:USDT,진입,sell,8.691,3.1,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3762009125643329536,470430088,0.013471
2026-07-21 16:30:08,LINK/USDT:USDT,진입,sell,8.691,0.2,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3762009125643329536,470430084,0.000869
2026-07-21 16:30:08,LINK/USDT:USDT,진입,sell,8.691,0.2,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3762009125643329536,470430087,0.000869
2026-07-21 16:30:08,LINK/USDT:USDT,진입,sell,8.691,0.2,0.0,0.0,SL/TP,5,ID_ENTRY_8402_ID_ENTRY_ID_3762009125643329536,470430086,0.000869
2026-07-21 17:24:08,LINK/USDT:USDT,청산,buy,8.755,3.8,-0.2432,-3.681546249424758,SL/TP,5,ID_3762117829956968448,470437002,0.0166345
